AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
RX_J1330.8+3119,UGC08496NED02,x,"('202.72167', '31.32556')","(202.5724, 31.33278)",2.411422446580206e-10,35.48901596954349,160.2412903467519,x,5104.2,-265.1999999999998,71.89071302,x,12.8,6.6,58.7,47.0,39.8,39.8,UGC8496,.S?....,59.1,-99,HII,0.016108
RX_J1330.8+3119,UGC08517,x,"('202.72167', '31.32556')","(202.98346, 31.03289)",1.7707360301435408e-14,79.63588042082257,446.64910757997785,x,4930.2,-91.19999999999982,69.43953755,x,22.8,10.9,61.3,158.0,59.4,59.4,UGC8517,.S?....,61.4,158.0,S?,0.015527
RX_J1330.8+3119,SDSSJ133010.17+311646.8,x,"('202.72167', '31.32556')","(202.54239, 31.27967)",1.1727595717991314e-30,24.07024041038905,198.28891690540516,x,5044.4,-205.39999999999964,71.04730343,x,9.7,3.1,71.3,178.0,71.3,71.3,0,x,x,x,x,0.015907
RX_J1330.8+3119,SDSSJ133017.77+305733.6,x,"('202.72167', '31.32556')","(202.57407, 30.95936)",4.706207020463133e-52,44.72678957046451,483.34676533981036,x,5075.8,-236.80000000000018,71.49031753,x,15.1,7.3,61.3,48.0,67.0,67.0,0,x,x,x,IrrI,0.016011
RX_J1330.8+3119,UGC08496NED01,x,"('202.72167', '31.32556')","(202.57196, 31.33536)",-99,-99,161.3030888573605,x,5116.2,-277.1999999999998,72.05967803,x,x,x,x,x,x,x,UGC8496,.S?....,59.1,-99,S?,0.016148
