AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
PG1216+069,NGC4260,x,"('184.83708', '6.64389')","(184.84267, 6.09868)",9.110188438250779e-05,154.48044775320326,384.45462531207477,x,2255.7,-352.6999999999998,40.4,x,36.6,17.6,61.3,45.0,44.4,44.4,NGC4260,.SBS1..,59.9,58.0,SB(s)a;Sy      LINER,0.006531
PG1216+069,VCC0297,x,"('184.83708', '6.64389')","(184.66095, 6.70838)",2.095692536535695e-08,28.339820627259176,105.27736696952735,x,2297.0,-394.0,32.35256296,x,10.9,3.5,71.3,160.0,89.8,89.8,0,x,x,x,Sc (on edge),0.006668
PG1216+069,NGC4339,x,"('184.83708', '6.64389')","(185.89562, 6.08175)",6.257661578677769e-48,35.48901596954349,365.71033515035094,x,1586.8,316.20000000000005,17.567,x,12.8,11.5,25.8,50.0,11.9,11.9,NGC4339,.E.0...,17.3,-99,E0             Sy2,0.0043
PG1216+069,NGC4266,x,"('184.83708', '6.64389')","(184.92623, 5.53828)",4.819767084977218e-56,44.31265408594165,499.87136008302883,x,1833.4,69.59999999999991,25.82185709,x,15.0,3.0,78.5,x,71.4,71.4,NGC4266,.SBS1$/,77.9,76.0,SB(s)a? sp     LINER,0.005124
PG1216+069,UGC07423,x,"('184.83708', '6.64389')","(185.4815, 6.45061)",8.785663187069177e-58,36.26775666655811,410.8542821789323,x,1554.0,349.0,35.200001,x,13.0,7.7,53.8,5.0,68.2,68.2,UGC7423,.S..9*.,53.9,5.0,Sm:            HII,0.00419
PG1216+069,IC3259,x,"('184.83708', '6.64389')","(185.95218, 7.18684)",2.2452379996101256e-103,29.806420281840502,457.2856633666059,x,1704.5,198.5,21.25,x,11.3,4.9,64.3,x,78.9,78.9,IC3259,.SXS8$.,56.7,15.0,SAB(s)dm?      HII,0.004689
PG1216+069,VCC0346,x,"('184.83708', '6.64389')","(184.84925, 6.23303)",2.714592263824012e-179,10.876965857390772,220.04728673685645,x,2177.8,-274.8000000000002,30.67303452,x,5.5,3.7,47.9,41.0,39.3,39.3,0,x,x,x,"dE5,N",0.006271
PG1216+069,SDSSJ121928.51+061622.6,x,"('184.83708', '6.64389')","(184.86879, 6.27294)",5.761005998526008e-180,8.212918615558277,166.81596284468563,x,1822.8,80.20000000000005,25.67342396,x,4.5,1.3,73.1,1.0,3.9,3.9,0,x,x,x,x,0.005087
PG1216+069,VCC0315,x,"('184.83708', '6.64389')","(184.75228, 6.09461)",4.1483777723692005e-186,12.573661634316128,259.7786861844361,x,1901.7,1.2999999999999545,26.78426695,x,6.1,3.6,54.5,75.0,83.7,83.7,0,x,x,x,SBa(s),0.005349
PG1216+069,VCC0379,x,"('184.83708', '6.64389')","(184.96573, 5.99919)",4.648053832287809e-195,13.447822358547286,284.30435351159775,x,1759.7,143.29999999999995,24.7839351,x,6.4,2.3,68.9,x,x,x,0,x,x,x,x,0.004877
