AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
SDSSJ021218.32-073719.8,5272,SDSSJ021213.91-073501.1,3,"('33.07625', '-7.62222222222')","(33.05798, -7.58364)",1.3923786970316938,0.10028462208842244,88.60557475208483,34.51109966373138,52.15765507156982,x,4978.3,5247.0,-25.0,70.1162188,x,10.6,9.5,25.8,155.0,0.1,0,x,x,x,x,x,0.017501
SDSSJ021218.32-073719.8,5272,SDSSJ021202.56-074747.8,3,"('33.07625', '-7.62222222222')","(33.0107, -7.79663)",0.002232108361697951,1.2922618268910637e-07,113.10820066108047,58.67666486773085,214.38655241582032,x,4686.0,4955.0,-317.0,66.00040654,x,15.1,3.9,74.9,4.0,16.4,0,x,x,x,Sc(f),Sc(f),0.016527
SDSSJ021218.32-073719.8,5272,MCG-01-06-075,3,"('33.07625', '-7.62222222222')","(33.36576, -7.69726)",0.00021110470761126786,3.0119575399455812e-09,131.57364797639642,81.51485754143229,346.87206527991276,x,4757.9,5026.0,-246.0,67.01241492,x,18.8,10.9,54.6,25.0,79.7,0,x,x,x,x,x,0.016764
