AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
HE1228+0131,1854,NGC4536,10,"('187.708333333', '1.25583333333')","(188.61271, 2.18814)",0.0432683855243486,0.0429381155825326,197.62313832387832,197.37836507581068,347.24545114875826,x,2102.6,1808.0,-46.0,15.321,x,33.9,14.3,65.1,x,85.9,NGC4536,.SXT4..,64.7,130.0,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031
HE1228+0131,1854,NGC4527,10,"('187.708333333', '1.25583333333')","(188.53509, 2.65366)",0.007894225118111286,0.008676082785358568,199.62977872021068,201.76120538894486,423.17387446526845,x,2031.0,1736.0,-118.0,14.932,x,34.4,11.7,70.1,70.0,39.4,NGC4527,.SXS4..,70.2,67.0,SAB(s)bc;HII   LINER,SAB(s)bc;HII   LINER,0.005791
HE1228+0131,1854,NGC4517A,10,"('187.708333333', '1.25583333333')","(188.11732, 0.38967)",0.0002820491316889197,2.0631485725464196e-05,166.30553723674035,135.64565603070375,379.1548979305949,x,1801.8,1509.0,-345.0,22.68,x,26.4,17.2,49.5,x,55.3,NGC4517A,.SBT8*.,48.6,30.0,SB(rs)dm:      HII,SB(rs)dm:      HII,0.005032
HE1228+0131,1854,UGC07625,10,"('187.708333333', '1.25583333333')","(187.38654, 0.83964)",2.7913804248190773e-08,2.293638246373114e-42,88.0279557279243,34.02388866664127,326.82142922104583,x,2527.3,2234.0,380.0,35.59613696,x,10.5,1.3,82.6,x,x,0,x,x,x,Sd(f),Sd(f),0.007452
HE1228+0131,1854,IC3474,10,"('187.708333333', '1.25583333333')","(188.15215, 2.66152)",7.43026774209976e-10,7.471627087652561e-40,105.76383533587814,50.708510133901584,480.23145330276884,x,2022.1,1727.0,-127.0,18.667,x,13.7,1.4,84.3,x,18.5,IC3474,.S..7./,82.8,36.0,Sd(f)          HII,Sd(f)          HII,0.005761
HE1228+0131,1854,CGCG014-064,10,"('187.708333333', '1.25583333333')","(188.33653, 1.52174)",5.664068218738002e-12,7.480374284353145e-147,65.22756252504672,17.732230542151203,324.7248824696919,x,1937.0,1643.0,-211.0,27.28115478,x,6.8,2.7,66.4,179.0,68.1,CGCG14-64,.S..7?/,-99,-99,Sd? sp,Sd? sp,0.00548
HE1228+0131,1854,2dFGRSN389Z231,10,"('187.708333333', '1.25583333333')","(188.19354, 1.56867)",5.9609196772802075e-19,0.0,41.24838512685209,6.547900426854397,258.6614731014656,x,1823.0,1529.0,-325.0,25.67647003,x,3.5,1.6,63.5,x,x,0,x,x,x,x,x,0.0051
HE1228+0131,1854,UGC07512,10,"('187.708333333', '1.25583333333')","(186.42223, 2.15898)",7.570806458426696e-23,0.0,59.83073840715335,14.696938456699069,414.04484536195025,x,1799.7,1505.0,-349.0,15.1,x,6.0,2.7,63.3,130.0,4.9,UGC7512,.IBS9..,63.5,130.0,ImIV,ImIV,0.00502
HE1228+0131,1854,2dFGRSN321Z040,10,"('187.708333333', '1.25583333333')","(188.11533, 0.36881)",8.601679839998273e-50,0.0,40.43155575527607,6.269290230959163,422.6435516283018,x,1761.7,1469.0,-385.0,24.81319044,x,3.4,1.9,56.4,x,x,0,x,x,x,x,x,0.0049
HE1228+0131,1854,SDSSJ122950.58+020153.7,10,"('187.708333333', '1.25583333333')","(187.46075, 2.03158)",5.160243524512353e-51,0.0,38.77514986628247,5.7243340223994625,417.0541470571224,x,2083.6,1789.0,-65.0,29.34599276,x,3.2,1.8,56.5,x,x,0,x,x,x,x,x,0.005966
