R (kpc),vel
17.4182,-130.3970684
16.7399,-129.3481856
16.1444,-129.3964219
15.1192,-129.4774999
12.9083,-127.4474704
11.6294,-120.9283867
10.6922,-116.5891729
9.4133,-111.1733662
7.9635,-100.2534905
6.7726,-84.89998101
4.6393,-62.99865135
2.8478,-46.58907497
1.398,-22.42679736
-1.0822,34.75989383
-1.5948,57.89381472
-2.1074,76.61360165
-3.8109,95.23691599
-5.8561,110.5237157
-7.6476,119.2093273
-9.7757,121.2455147
-11.3083,124.4342415
-12.7581,127.6291262
-15.3988,131.8318416
-16.9314,131.7097114
