R (kpc),vel,err
-16.9314,128.13403611681366,4.61
-15.3988,128.2556946476025,4.61
-12.7581,124.06920991163018,4.58
-11.3083,120.88666363981528,4.55
-9.7757,117.71025141156967,4.53
-7.6476,115.68192767135753,4.51
-5.8561,107.02985921701482,4.46
-3.8109,91.80209605650022,4.36
-2.1074,73.25070362207944,4.27
-1.5948,54.6032111717413,4.19
-1.0822,31.558631822888504,4.12
1.398,-25.4072084635858,4.11
2.8478,-49.47617308849308,4.17
4.6393,-65.82237685979007,4.23
6.7726,-87.63912515420982,4.34
7.9635,-102.93334045339058,4.43
9.4133,-113.81104438275447,4.5
10.6922,-119.20593570185729,4.54
11.6294,-123.52839173694657,4.57
12.9083,-130.02229919552934,4.62
15.1192,-132.04448889217232,4.64
16.1444,-131.96372398517804,4.64
16.7399,-131.91567397721934,4.64
17.4182,-132.96050606517133,4.64
