R (arcmin),vel
-3.27,1188.334
-2.974,1188.453
-2.464,1184.358
-2.184,1181.245
-1.888,1178.138
-1.477,1176.154
-1.131,1167.691
-0.736,1152.796
-0.407,1134.65
-0.308,1116.41
-0.209,1093.869
0.27,1038.148
0.55,1014.605
0.896,998.616
1.308,977.276
1.538,962.316
1.818,951.676
2.065,946.399
2.246,942.171
2.493,935.819
2.92,933.841
3.118,933.92
3.233,933.967
3.364,932.945
