AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
SBS1503+570,UGC05470,x,"('226.23150', '56.82230')","(152.11708, 12.30639)",300.094594303,x,534.3,171.7,0.242,x,0.5,0.4,40.5,80.0,39.1,39.1,LeoI,dE.3...,40.7,80.0,E;dSph,0.000951
SBS1503+570,MCG+10-21-039,x,"('226.23150', '56.82230')","(224.12924, 59.59466)",468.560435655,x,638.6,67.4,8.993724436,x,0.6,0.6,0.0,90.0,67.5,67.5,0,x,x,x,x,0.001544
SBS1503+570,NGC5866A,x,"('226.23150', '56.82230')","(226.31672, 55.82782)",187.768176623,x,767.2,-61.2,10.80585077,x,2.3,2.2,14.1,106.0,71.3,71.3,0,x,x,x,x,0.00195
SBS1503+570,NGC5866,x,"('226.23150', '56.82230')","(226.62291, 55.76321)",276.90670869,x,853.8,-147.8,14.675,x,20.1,8.1,66.2,x,40.6,40.6,NGC5866,.LA.+./,65.4,128.0,S0_3       HII/LINER,0.002242
SBS1503+570,NGC5826,x,"('226.23150', '56.82230')","(226.641, 55.47911)",336.758074841,x,1005.5,-299.5,14.16223961,x,5.5,4.2,40.5,25.0,34.5,34.5,0,x,x,x,S0?,0.002746
SBS1503+570,CXOJ150945.8+570100,x,"('226.23150', '56.82230')","(227.44105, 57.01676)",182.050682576,x,1076.1,-370.1,15.15599585,x,x,x,x,x,x,x,0,x,x,x,ELG,0.003
SBS1503+570,NGC5879,x,"('226.23150', '56.82230')","(227.44469, 57.00019)",192.9087462,x,949.1,-243.1,16.117,x,12.6,5.5,63.9,5.0,70.0,70.0,NGC5879,.SAT4*$,71.1,0.0,SA(rs)bc:?     LINER,0.002575
SBS1503+570,CXOJ150946.7+565947,x,"('226.23150', '56.82230')","(227.44473, 56.99641)",130.833043181,x,777.1,-71.1,10.94538212,x,x,x,x,x,75.3,75.3,NGC5879,.SAT4*$,71.1,0.0,ELG,0.002
SBS1503+570,NGC5866B,x,"('226.23150', '56.82230')","(228.03012, 55.78508)",444.600457669,x,1020.1,-314.1,17.700001,x,12.2,8.7,44.8,20.0,63.5,63.5,NGC5866B,.SXT8*.,44.9,20.0,SAB(rs)dm:,0.002805
SBS1503+570,SBS1510+571B,x,"('226.23150', '56.82230')","(228.05221, 57.00172)",203.34204924,x,819.0,-113.0,11.53523114,x,1.9,1.2,51.7,145.0,65.2,65.2,0,x,x,x,Spiral,0.002146
SBS1503+570,SBS1511+583,x,"('226.23150', '56.82230')","(228.1827, 58.17656)",270.978385598,x,643.7,62.3,9.066242091,x,0.6,0.5,34.9,69.0,30.7,30.7,0,x,x,x,x,0.001572
SBS1503+570,UGC09776,x,"('226.23150', '56.82230')","(228.28155, 56.96864)",342.908765316,x,1008.7,-302.7,17.4,x,4.0,1.5,68.0,x,x,x,0,x,x,x,Im,0.002779
SBS1503+570,KUG1513+566,x,"('226.23150', '56.82230')","(228.70055, 56.45443)",307.121733454,x,888.2,-182.2,12.50973159,x,0.8,0.7,14.1,40.0,65.2,65.2,0,x,x,x,Spiral,0.002375
SBS1503+570,NGC5907,x,"('226.23150', '56.82230')","(228.97404, 56.32877)",452.090918353,x,843.0,-137.0,16.3,x,60.5,6.6,83.7,x,46.8,46.8,NGC5907,.SAS5*/,83.7,155.0,SA(s)c: sp     HII:,0.002225
SBS1503+570,KUG1516+568,x,"('226.23150', '56.82230')","(229.35492, 56.66353)",403.982213721,x,955.4,-249.4,13.45675564,x,3.5,2.4,45.6,80.0,15.3,15.3,0,x,x,x,Spiral,0.002605
