AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
3C273.0,UGC07642,x,"('187.27792', '2.05222')","(187.55731, 2.62471)",302.042968469,x,1929.1,226.9,27.17085655,x,7.9,6.3,36.9,x,76.0,76.0,UGC7642,.IBS9..,37.4,130.0,SdmIII-IV      HII,0.005451
3C273.0,IC3474,x,"('187.27792', '2.05222')","(188.15215, 2.66152)",346.977624493,x,2022.1,133.9,18.667,x,13.7,1.4,84.3,x,19.1,19.1,IC3474,.S..7./,82.8,36.0,Sd(f)          HII,0.005761
3C273.0,2dFGRSN389Z231,x,"('187.27792', '2.05222')","(188.19354, 1.56867)",463.848442076,x,1823.0,333.0,25.67647003,x,3.5,1.6,63.5,x,x,x,0,x,x,x,x,0.0051
3C273.0,NGC4527,x,"('187.27792', '2.05222')","(188.53509, 2.65366)",362.947128205,x,2031.0,125.0,14.932,x,34.4,11.7,70.1,70.0,5.6,5.6,NGC4527,.SXS4..,70.2,67.0,SAB(s)bc;HII   LINER,0.005791
3C273.0,NGC4536,x,"('187.27792', '2.05222')","(188.61271, 2.18814)",358.527920645,x,2102.6,53.4,15.321,x,33.9,14.3,65.1,x,45.8,45.8,NGC4536,.SXT4..,64.7,130.0,SAB(rs)bc;HII  Sbrst,0.006031
3C273.0,UGC07512,x,"('187.27792', '2.05222')","(186.42223, 2.15898)",227.109867128,x,1799.7,356.3,15.1,x,6.0,2.7,63.3,130.0,32.9,32.9,UGC7512,.IBS9..,63.5,130.0,ImIV,0.00502
3C273.0,SDSSJ122658.42+022923.3,x,"('187.27792', '2.05222')","(186.74342, 2.48981)",326.22204262,x,1922.0,234.0,27.07084759,x,1.7,1.6,16.3,148.0,18.7,18.7,NGC4420,.SBR4*.,61.4,8.0,x,0.005426
3C273.0,NGC4409,x,"('187.27792', '2.05222')","(186.74375, 2.49436)",223.184451571,x,1980.0,176.0,18.45,x,11.3,5.0,63.9,10.0,60.4,60.4,NGC4420,.SBR4*.,61.4,8.0,SB(r)bc:;HII   LINER,0.005621
3C273.0,VCC1060,x,"('187.27792', '2.05222')","(187.01527, 2.90991)",392.334554267,x,1779.4,376.6,25.06223439,x,8.4,1.3,81.4,x,x,x,VCC1060,.S?....,81.1,-99,S?             HII,0.004951
3C273.0,UGC07612,x,"('187.27792', '2.05222')","(187.25892, 2.72319)",284.096551543,x,1870.2,285.8,24.25,x,14.8,7.8,58.4,x,33.4,33.4,UGC7612,.S..9*.,57.5,145.0,Sm:            HII,0.005254
3C273.0,SDSSJ122950.58+020153.7,x,"('187.27792', '2.05222')","(187.46075, 2.03158)",94.1783793965,x,2083.6,72.4,29.34599276,x,3.2,1.8,56.5,x,x,x,0,x,x,x,x,0.005966
