AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
TON488,1250,UGC05478,3,"('152.50292', '30.05583')","(152.38167, 30.15171)",0.0436049930026,0.00295051656626,92.036572234,37.4823691887,58.0398815578,x,1620.3,370.3,23.4,x,11.2,11.0,11.5,x,x,UGC5478,.I..9..,12.2,-99,Im,Im,0.004597
TON488,1250,UGC05464,3,"('152.50292', '30.05583')","(152.03211, 29.5429)",0.000219077016934,6.69229949752e-44,69.1464497467,20.1301763529,200.709251863,x,1245.1,-4.9,17.53677262,x,7.4,4.6,51.7,135.0,6.5,UGC5464,.S..9..,51.9,135.0,Sm,Sm,0.003344
TON488,1250,KUG0959+299,3,"('152.50292', '30.05583')","(150.59661, 29.72593)",5.10386792047e-97,0.0,28.0356543536,2.82842712475,416.034671572,x,1004.2,-245.8,14.14403573,x,2.0,1.4,45.6,74.0,27.3,0,x,x,x,x,x,0.002554
