R (kpc),vel,err
-19.1148,148.59082856772147,4.66
-17.1518,148.62951632163453,4.66
-15.2976,150.0020684729202,4.67
-13.8791,150.02989116208582,4.67
-12.7885,148.7152183276774,4.66
-11.9161,147.39628070149925,4.65
-11.0438,146.07744461798202,4.64
-9.1896,138.09730841783295,4.58
-8.2077,131.43621138652392,4.54
-6.1352,118.1160481771291,4.45
-4.7175,95.4305037836507,4.32
-3.299,78.08914964852714,4.24
-1.7727,54.06963931501453,4.15
-0.6821,28.705399519381622,4.09
1.3905,-20.689114131849728,4.07
2.0453,-40.71749016734526,4.11
3.136,-62.07343495522036,4.17
3.8996,-80.76368180157304,4.25
5.0989,-107.46188753724019,4.39
6.2991,-126.1435032573917,4.5
6.9531,-132.81109901901704,4.55
8.0438,-143.4783586621992,4.62
10.1163,-146.10973518423995,4.64
11.8618,-148.74761043659674,4.66
14.1517,-146.0304303658515,4.64
15.679,-147.33647207405895,4.65
17.4245,-147.30215065457728,4.65
20.6963,-149.9099692792222,4.67
22.2235,-149.87991265151052,4.67
