R (kpc),vel,err
-19.1148,148.69915062827872,7.98
-17.1518,148.73760380752367,7.98
-15.2976,150.10183379138476,7.98
-13.8791,150.12948778380743,7.98
-12.7885,148.82278617834376,7.98
-11.9161,147.51184563973516,7.98
-11.0438,146.20100602810595,7.98
-9.1896,138.26925562478527,7.98
-8.2077,131.6485466870535,7.98
-6.1352,118.4091473511824,7.98
-4.7175,95.86115175567362,7.98
-3.299,78.62494309888106,7.98
-1.7727,54.75106977177605,7.98
-0.6821,29.540620453232386,7.98
1.3905,-19.5544004522585,7.98
2.0453,-39.461338844416815,7.98
3.136,-60.68779656845395,7.98
3.8996,-79.26471922285072,7.98
5.0989,-105.8010462729906,7.98
6.2991,-124.36939013411741,7.98
6.9531,-130.99655839854665,7.98
8.0438,-141.59913946421273,7.98
10.1163,-144.21456121473312,7.98
11.8618,-146.83644229195082,7.98
14.1517,-144.13573724363022,7.98
15.679,-145.43386005582414,7.98
17.4245,-145.3997467367042,7.98
20.6963,-147.9917534279469,7.98
22.2235,-147.96187904197214,7.98
