R (kpc),vel,err
-37.774,-153.401,3.51
-37.37,-152.308,3.5
-36.967,-150.364,3.5
-36.564,-150.486,3.5
-36.178,-150.473,3.5
-35.758,-150.486,3.5
-35.355,-152.551,3.51
-34.952,-152.186,3.5
-34.549,-151.943,3.5
-34.146,-151.457,3.5
-33.743,-150.243,3.5
-33.34,-149.757,3.49
-32.937,-150.121,3.49
-32.562,-149.757,3.49
-32.159,-149.15,3.49
-31.756,-148.3,3.49
-31.353,-148.057,3.49
-30.936,-148.253,3.49
-30.547,-148.057,3.49
-30.144,-147.935,3.48
-29.741,-148.057,3.49
-29.309,-148.057,3.49
-28.906,-148.543,3.49
-28.532,-149.028,3.49
-28.129,-149.514,3.49
-27.697,-151.093,3.5
-27.333,-151.299,3.5
-26.919,-151.336,3.5
-26.516,-151.215,3.5
-26.084,-151.7,3.5
-25.71,-152.308,3.5
-25.307,-152.794,3.51
-24.933,-153.158,3.51
-24.53,-153.401,3.51
-24.127,-153.279,3.51
-23.724,-152.915,3.51
-23.321,-152.672,3.51
-22.917,-153.158,3.51
-22.486,-153.522,3.51
-22.111,-153.644,3.51
-21.708,-153.887,3.51
-21.305,-154.372,3.51
-20.902,-155.951,3.52
-20.499,-156.073,3.52
-20.096,-156.073,3.52
-19.693,-155.83,3.52
-19.29,-155.101,3.52
-18.916,-154.615,3.52
-18.484,-153.887,3.51
-18.081,-153.644,3.51
-17.706,-153.522,3.51
-17.303,-153.401,3.51
-16.871,-153.401,3.51
-16.468,-153.401,3.51
-16.065,-153.158,3.51
-15.662,-154.008,3.51
-15.259,-156.194,3.52
-14.914,-158.259,3.53
-14.453,-159.352,3.54
-14.05,-160.931,3.54
-13.676,-161.903,3.55
-13.301,-161.903,3.55
-12.898,-160.81,3.54
-12.438,-159.717,3.54
-12.092,-158.502,3.53
-11.689,-157.409,3.53
-11.286,-156.559,3.52
-10.854,-155.709,3.52
-10.451,-154.98,3.52
-10.077,-154.251,3.51
-9.674,-152.794,3.51
-9.271,-151.457,3.5
-8.868,-150.121,3.49
-8.464,-149.028,3.49
-8.061,-147.692,3.48
-7.658,-146.356,3.48
-7.255,-146.235,3.48
-6.823,-146.235,3.48
-6.449,-146.113,3.48
-6.046,-143.927,3.47
-5.643,-141.741,3.46
-5.241,-137.429,3.44
-4.837,-132.024,3.42
-4.434,-124.98,3.39
-4.021,-117.309,3.36
-3.624,-110.16,3.33
-3.226,-102.77,3.31
-2.821,-95.223,3.29
-2.43,-88.578,3.27
-2.015,-80.526,3.24
-1.617,-72.232,3.22
-1.211,-60.898,3.2
-0.812,-46.941,3.17
-0.42,-28.208,3.15
0.42,28.208,3.15
0.812,46.941,3.17
1.211,60.898,3.2
1.617,72.232,3.22
2.015,80.526,3.24
2.43,88.578,3.27
2.821,95.223,3.29
3.226,102.77,3.31
3.624,110.16,3.33
4.021,117.309,3.36
4.434,124.98,3.39
4.837,132.024,3.42
5.241,137.429,3.44
5.643,141.741,3.46
6.046,143.927,3.47
6.449,146.113,3.48
6.823,146.235,3.48
7.255,146.235,3.48
7.658,146.356,3.48
8.061,147.692,3.48
8.464,149.028,3.49
8.868,150.121,3.49
9.271,151.457,3.5
9.674,152.794,3.51
10.077,154.251,3.51
10.451,154.98,3.52
10.854,155.709,3.52
11.286,156.559,3.52
11.689,157.409,3.53
12.092,158.502,3.53
12.438,159.717,3.54
12.898,160.81,3.54
13.301,161.903,3.55
13.676,161.903,3.55
14.05,160.931,3.54
14.453,159.352,3.54
14.914,158.259,3.53
15.259,156.194,3.52
15.662,154.008,3.51
16.065,153.158,3.51
16.468,153.401,3.51
16.871,153.401,3.51
17.303,153.401,3.51
17.706,153.522,3.51
18.081,153.644,3.51
18.484,153.887,3.51
18.916,154.615,3.52
19.29,155.101,3.52
19.693,155.83,3.52
20.096,156.073,3.52
20.499,156.073,3.52
20.902,155.951,3.52
21.305,154.372,3.51
21.708,153.887,3.51
22.111,153.644,3.51
22.486,153.522,3.51
22.917,153.158,3.51
23.321,152.672,3.51
23.724,152.915,3.51
24.127,153.279,3.51
24.53,153.401,3.51
24.933,153.158,3.51
25.307,152.794,3.51
25.71,152.308,3.5
26.084,151.7,3.5
26.516,151.215,3.5
26.919,151.336,3.5
27.333,151.299,3.5
27.697,151.093,3.5
28.129,149.514,3.49
28.532,149.028,3.49
28.906,148.543,3.49
29.309,148.057,3.49
29.741,148.057,3.49
30.144,147.935,3.48
30.547,148.057,3.49
30.936,148.253,3.49
31.353,148.057,3.49
31.756,148.3,3.49
32.159,149.15,3.49
32.562,149.757,3.49
32.937,150.121,3.49
33.34,149.757,3.49
33.743,150.243,3.5
34.146,151.457,3.5
34.549,151.943,3.5
34.952,152.186,3.5
35.355,152.551,3.51
35.758,150.486,3.5
36.178,150.473,3.5
36.564,150.486,3.5
36.967,150.364,3.5
37.37,152.308,3.5
37.774,153.401,3.51
