AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
HE1228+0131,NGC4517,x,"('187.70833', '1.25583')","(188.18996, 0.11503)",1332.8668045444929,193.17590350324986,211.0427507491546,x,1420.4,74.59999999999991,9.765,x,32.8,4.1,82.7,x,60.1,60.1,NGC4517,.SAS6*/,81.5,83.0,SA(s)cd: sp    HII,0.003764
HE1228+0131,CGCG014-054,x,"('187.70833', '1.25583')","(187.7659, 1.6757)",7155.823873785116,71.06873748016558,145.764185014457,x,1399.2,95.79999999999995,19.70682874,x,7.7,4.4,55.2,80.0,87.8,87.8,MCG0-32-16,.IXS9P*,54.9,80.0,IAB(s)m pec:,0.003686
HE1228+0131,SDSSJ123233.64+002417.1,x,"('187.70833', '1.25583')","(188.14018, 0.40475)",19140.77274889277,27.060759693886542,364.04619541383,x,1551.8,-56.799999999999955,21.85597782,x,1.9,1.1,55.9,53.0,26.1,26.1,0,x,x,x,x,0.0042
HE1228+0131,2dFGRSN320Z113,x,"('187.70833', '1.25583')","(187.26608, 0.10381)",24652.048981363543,46.00667649591621,434.2279202969169,x,1431.5,63.5,20.16197435,x,4.1,3.5,31.0,x,x,x,0,x,x,x,dE,0.0038
HE1228+0131,SDSSJ122815.96+014944.1,x,"('187.70833', '1.25583')","(187.0665, 1.82892)",62931.96654379822,41.24838512685209,253.42628985981986,x,1198.4,296.5999999999999,16.87858892,x,3.5,1.8,59.3,40.0,8.2,8.2,0,x,x,x,x,0.003015
HE1228+0131,NGC4517A,x,"('187.70833', '1.25583')","(188.11732, 0.38967)",65301.99060099232,166.30553723674035,379.15426800920557,x,1801.8,-306.79999999999995,22.68,x,26.4,17.2,49.5,x,4.7,4.7,NGC4517A,.SBT8*.,48.6,30.0,SB(rs)dm:      HII,0.005032
HE1228+0131,2dFGRSN389Z231,x,"('187.70833', '1.25583')","(188.19354, 1.56867)",71312.17004725986,41.24838512685209,258.6635377099614,x,1823.0,-328.0,25.67647003,x,3.5,1.6,63.5,x,x,x,0,x,x,x,x,0.0051
HE1228+0131,SDSSJ123225.83+002409.3,x,"('187.70833', '1.25583')","(188.10766, 0.40259)",76106.02463890065,26.06981975654495,394.08734702395634,x,1701.8,-206.79999999999995,23.968674,x,1.8,1.1,52.4,172.0,33.1,33.1,0,x,x,x,x,0.0047
HE1228+0131,2dFGRSN321Z040,x,"('187.70833', '1.25583')","(188.11533, 0.36881)",101935.74988817936,40.43155575527607,422.64284142523985,x,1761.7,-266.70000000000005,24.81319044,x,3.4,1.9,56.4,x,x,x,0,x,x,x,x,0.0049
HE1228+0131,UGC07512,x,"('187.70833', '1.25583')","(186.42223, 2.15898)",107928.97343004472,59.83073840715335,414.0446321716584,x,1799.7,-304.70000000000005,15.1,x,6.0,2.7,63.3,130.0,75.1,75.1,UGC7512,.IBS9..,63.5,130.0,ImIV,0.00502
HE1228+0131,NGC4600,x,"('187.70833', '1.25583')","(190.09566, 3.11775)",119589.65124403576,44.44619413241409,388.1933951787945,x,1147.1,347.9000000000001,7.3499999,x,3.9,2.2,55.9,65.0,63.0,63.0,NGC4600,.L.....,48.6,60.0,"S0(6),N",0.002842
HE1228+0131,SDSSJ122745.86+013601.8,x,"('187.70833', '1.25583')","(186.9429, 1.60015)",x,x,327.1689834369463,x,1586.1,-91.09999999999991,22.34012963,x,x,x,x,x,x,x,0,x,x,x,dIn,0.00431
