AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
HE1228+0131,1488,NGC4517,12,"('187.70833', '1.25583')","(188.18996, 0.11503)",0.27042013068,0.252481237576,193.175903503,187.84981235,211.042750749,x,1420.4,-67.6,9.765,x,32.8,4.1,82.7,x,74.1,NGC4517,.SAS6*/,81.5,83.0,SA(s)cd: sp    HII,SA(s)cd: sp    HII,0.003764
HE1228+0131,1488,CGCG014-054,12,"('187.70833', '1.25583')","(187.7659, 1.6757)",0.0122299888781,5.0370390455e-21,71.0687374802,21.3666328653,145.764185014,x,1399.2,-88.8,19.70682874,x,7.7,4.4,55.2,80.0,72.2,MCG0-32-16,.IXS9P*,54.9,80.0,IAB(s)m pec:,IAB(s)m pec:,0.003686
HE1228+0131,1488,NGC4517A,12,"('187.70833', '1.25583')","(188.11732, 0.38967)",0.000471520487406,3.4491340867e-05,166.305537237,135.645656031,379.154268009,x,1801.8,313.8,22.68,x,26.4,17.2,49.5,x,55.3,NGC4517A,.SBT8*.,48.6,30.0,SB(rs)dm:      HII,SB(rs)dm:      HII,0.005032
HE1228+0131,1488,SDSSJ122815.96+014944.1,12,"('187.70833', '1.25583')","(187.0665, 1.82892)",4.96404150006e-18,0.0,41.2483851269,6.54790042685,253.42628986,x,1198.4,-289.6,16.87858892,x,3.5,1.8,59.3,40.0,88.2,0,x,x,x,x,x,0.003015
HE1228+0131,1488,2dFGRSN389Z231,12,"('187.70833', '1.25583')","(188.19354, 1.56867)",5.05105446594e-19,0.0,41.2483851269,6.54790042685,258.66353771,x,1823.0,335.0,25.67647003,x,3.5,1.6,63.5,x,x,0,x,x,x,x,x,0.0051
HE1228+0131,1488,UGC07512,12,"('187.70833', '1.25583')","(186.42223, 2.15898)",1.40195342713e-22,0.0,59.8307384072,14.6969384567,414.044632172,x,1799.7,311.7,15.1,x,6.0,2.7,63.3,130.0,4.9,UGC7512,.IBS9..,63.5,130.0,ImIV,ImIV,0.00502
HE1228+0131,1488,NGC4600,12,"('187.70833', '1.25583')","(190.09566, 3.11775)",4.06441612797e-35,0.0,44.4461941324,7.70188288667,388.193395179,x,1147.1,-340.9,7.3499999,x,3.9,2.2,55.9,65.0,13.0,NGC4600,.L.....,48.6,60.0,"S0(6),N","S0(6),N",0.002842
HE1228+0131,1488,2dFGRSN320Z113,12,"('187.70833', '1.25583')","(187.26608, 0.10381)",1.89312950224e-39,0.0,46.0066764959,8.30186725984,434.227920297,x,1431.5,-56.5,20.16197435,x,4.1,3.5,31.0,x,x,0,x,x,x,dE,dE,0.0038
HE1228+0131,1488,2dFGRSN321Z040,12,"('187.70833', '1.25583')","(188.11533, 0.36881)",5.37937613626e-49,0.0,40.4315557553,6.26929023096,422.642841425,x,1761.7,273.7,24.81319044,x,3.4,1.9,56.4,x,x,0,x,x,x,x,x,0.0049
HE1228+0131,1488,SDSSJ123233.64+002417.1,12,"('187.70833', '1.25583')","(188.14018, 0.40475)",2.27378189679e-79,0.0,27.0607596939,2.6189692629,364.046195414,x,1551.8,63.8,21.85597782,x,1.9,1.1,55.9,53.0,79.9,0,x,x,x,x,x,0.0042
HE1228+0131,1488,SDSSJ123225.83+002409.3,12,"('187.70833', '1.25583')","(188.10766, 0.40259)",1.82904429798e-100,0.0,26.0698197565,2.4149534157,394.087347024,x,1701.8,213.8,23.968674,x,1.8,1.1,52.4,172.0,17.1,0,x,x,x,x,x,0.0047
HE1228+0131,1488,SDSSJ122745.86+013601.8,12,"('187.70833', '1.25583')","(186.9429, 1.60015)",-99,-99,-99,-99,327.168983437,x,1586.1,98.1,22.34012963,x,x,x,x,x,x,0,x,x,x,dIn,dIn,0.00431
