AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
H1101-232,1188,NGC3513,3,"('165.907083333', '-23.4919444444')","(165.942, -23.2455)",1.6985841370009014,1.3989520873340153,141.54708741853955,95.54752220753817,57.05105132446074,x,1418.6,1194.0,6.0,13.153,x,20.9,7.9,67.7,120.0,67.4,NGC3513,.SBT5..,37.4,75.0,SB(s)c         HII,SB(s)c         HII,0.003983
H1101-232,1188,NGC3511,3,"('165.907083333', '-23.4919444444')","(165.84904, -23.08678)",1.1285612520041364,0.7955177873991577,152.5722621694062,112.46927135889163,98.42727267590116,x,1333.9,1109.0,-79.0,13.8,x,23.3,8.0,69.8,x,83.5,NGC3511,.SAS5..,69.2,76.0,SAB(s)c;HII    Sy1,SAB(s)c;HII    Sy1,0.003699
H1101-232,1188,UMaDwarf,3,"('165.907083333', '-23.4919444444')","(158.72, 51.92)",-99,-99,-99,-99,133.39840983179548,x,1313.0,1101.0,-87.0,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673
