Name,Target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z,z_target,impact,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,azimuth,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC5364,SDSSJ135309.50+033328.0,no,,,,,,,,,,,,,0.00414,1.587,518.7884843,209.05,5.01447,208.2895833,3.557777778,1241,1516,18.1,33.38,19.03,8.2,4.6,195.53,57,3,48,20.5,.SAT4P.,405.65,0.65,30,100480,5,15.6,SA(rs)bc_pec_HII,0,TF,11.1,-99.99,1.9,2.2,-99.99,-99.99
NGC5364,SDSSJ135726.27+043541.4,,"1095, 1161",,1124,85,11,1.95E+13,2.93E+12,23,2.3,,,,0.00414,1.23453,164.5608968,209.05,5.01447,209.3595833,4.594722222,1241,1516,18.1,33.38,19.03,8.2,4.6,195.53,57,3,48,84.3,.SAT4P.,405.65,0.65,30,100480,5,15.6,SA(rs)bc_pec_HII,0,TF,11.1,-99.99,1.9,2.2,-99.99,-99.99
NGC5364,SDSSJ135726.27+043541.4,,"1264, 1324",,1296,98,9,2.37E+13,2.75E+12,21.1,1.4,,,,0.00414,1.23453,164.5608968,209.05,5.01447,209.3595833,4.594722222,1241,1516,18.1,33.38,19.03,8.2,4.6,195.53,57,3,48,84.3,.SAT4P.,405.65,0.65,30,100480,5,15.6,SA(rs)bc_pec_HII,0,TF,11.1,-99.99,1.9,2.2,-99.99,-99.99
NGC5364,SDSSJ135726.27+043541.4,,"2552, 2624",,2586,60,9,1.24E+13,1.24E13 pm 2.17E12,27.4,3.2,,,,0.00414,1.23453,164.5608968,209.05,5.01447,209.3595833,4.594722222,1241,1516,18.1,33.38,19.03,8.2,4.6,195.53,57,3,48,84.3,.SAT4P.,405.65,0.65,30,100480,5,15.6,SA(rs)bc_pec_HII,0,TF,11.1,-99.99,1.9,2.2,-99.99,-99.99
NGC5364,SDSSJ135726.27+043541.4,,"4507, 4555",,4540,34,7,7.07E+12,1.57E+12,14.9,2.4,,,,0.00414,1.23453,164.5608968,209.05,5.01447,209.3595833,4.594722222,1241,1516,18.1,33.38,19.03,8.2,4.6,195.53,57,3,48,84.3,.SAT4P.,405.65,0.65,30,100480,5,15.6,SA(rs)bc_pec_HII,0,TF,11.1,-99.99,1.9,2.2,-99.99,-99.99
NGC5364,SDSSJ135726.27+043541.4,,"6268, 6340",,6308,64,8,1.37E+13,1.97E+12,24.6,4.9,,,,0.00414,1.23453,164.5608968,209.05,5.01447,209.3595833,4.594722222,1241,1516,18.1,33.38,19.03,8.2,4.6,195.53,57,3,48,84.3,.SAT4P.,405.65,0.65,30,100480,5,15.6,SA(rs)bc_pec_HII,0,TF,11.1,-99.99,1.9,2.2,-99.99,-99.99
NGC5364,SDSSJ135726.27+043541.4,,"8764, 8846",,8804,84,8,1.82E+13,2.07E+12,28.1,2.1,,,,0.00414,1.23453,164.5608968,209.05,5.01447,209.3595833,4.594722222,1241,1516,18.1,33.38,19.03,8.2,4.6,195.53,57,3,48,84.3,.SAT4P.,405.65,0.65,30,100480,5,15.6,SA(rs)bc_pec_HII,0,TF,11.1,-99.99,1.9,2.2,-99.99,-99.99
NGC5364,SDSSJ140347.22+062812.1,no,,,,,,,,,,,,,0.00414,0.08433,752.8676371,209.05,5.01447,210.9466667,6.47,1241,1516,18.1,33.38,19.03,8.2,4.6,195.53,57,3,48,4.3,.SAT4P.,405.65,0.65,30,100480,5,15.6,SA(rs)bc_pec_HII,0,TF,11.1,-99.99,1.9,2.2,-99.99,-99.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
