R (kpc),vel,err
-3.0234,237.03,20.21
-2.5279,217.55,20.21
-2.0285,182.61,20.21
-1.3233,129.67,20.21
-0.5726,64.28,20.21
0.1741,4.2,20.21
0.8367,-70.51,20.21
1.528,-139.52,20.21
