R (kpc),vel,err
-5.2687,-145.225,8.72
-5.2579,-150.15,8.81
-4.9926,-147.643,8.76
-4.963,-151.58,8.83
-4.7266,-150.879,8.82
-4.7266,-145.591,8.73
-4.4736,-146.064,8.74
-4.4693,-138.242,8.61
-4.2119,-144.499,8.71
-4.2119,-137.637,8.6
-3.9546,-138.171,8.61
-3.9459,-146.312,8.74
-3.7052,-132.106,8.51
-3.6843,-139.594,8.63
-3.4356,-131.532,8.5
-3.4348,-137.881,8.6
-3.1797,-130.672,8.49
-3.1797,-126.265,8.42
-2.9497,-125.618,8.41
-2.9158,-129.189,8.47
-2.8164,-128.439,8.45
-2.7962,-119.523,8.32
-2.6693,-128.28,8.45
-2.6232,-129.78,8.47
-2.5799,-127.603,8.44
-2.4754,-128.3,8.45
-2.399,-134.11,8.54
-2.3846,-126.124,8.42
-2.3204,-126.204,8.42
-2.2793,-135.133,8.56
-2.1849,-129.624,8.47
-2.1279,-128.545,8.46
-2.0047,-126.376,8.42
-2.0011,-130.156,8.48
-1.9009,-122.308,8.36
-1.8677,-127.495,8.44
-1.7473,-124.569,8.4
-1.743,-130.568,8.49
-1.6226,-114.844,8.25
-1.614,-120.285,8.33
-1.5008,-119.911,8.33
-1.4813,-125.551,8.41
-1.3739,-118.657,8.31
-1.2175,-116.006,8.27
-1.2096,-105.456,8.13
-1.1937,-113.546,8.24
-1.0986,-108.376,8.17
-1.0957,-111.926,8.21
-0.9328,-98.952,8.04
-0.8549,-95.513,8.0
-0.8376,-102.391,8.09
-0.7547,-85.151,7.88
-0.7115,-84.166,7.87
-0.6033,-74.214,7.77
-0.5889,-87.054,7.9
-0.4671,-60.615,7.65
-0.4541,-71.471,7.74
-0.3366,-51.387,7.58
-0.3172,-45.072,7.54
-0.1975,-29.827,7.46
-0.1809,-50.732,7.58
-0.0843,-15.98,7.42
0.0843,15.98,7.42
0.1809,50.732,7.58
0.1975,29.827,7.46
0.3172,45.072,7.54
0.3366,51.387,7.58
0.4541,71.471,7.74
0.4671,60.615,7.65
0.5889,87.054,7.9
0.6033,74.214,7.77
0.7115,84.166,7.87
0.7547,85.151,7.88
0.8376,102.391,8.09
0.8549,95.513,8.0
0.9328,98.952,8.04
1.0957,111.926,8.21
1.0986,108.376,8.17
1.1937,113.546,8.24
1.2096,105.456,8.13
1.2175,116.006,8.27
1.3739,118.657,8.31
1.4813,125.551,8.41
1.5008,119.911,8.33
1.614,120.285,8.33
1.6226,114.844,8.25
1.743,130.568,8.49
1.7473,124.569,8.4
1.8677,127.495,8.44
1.9009,122.308,8.36
2.0011,130.156,8.48
2.0047,126.376,8.42
2.1279,128.545,8.46
2.1849,129.624,8.47
2.2793,135.133,8.56
2.3204,126.204,8.42
2.3846,126.124,8.42
2.399,134.11,8.54
2.4754,128.3,8.45
2.5799,127.603,8.44
2.6232,129.78,8.47
2.6693,128.28,8.45
2.7962,119.523,8.32
2.8164,128.439,8.45
2.9158,129.189,8.47
2.9497,125.618,8.41
3.1797,130.672,8.49
3.1797,126.265,8.42
3.4348,137.881,8.6
3.4356,131.532,8.5
3.6843,139.594,8.63
3.7052,132.106,8.51
3.9459,146.312,8.74
3.9546,138.171,8.61
4.2119,144.499,8.71
4.2119,137.637,8.6
4.4693,138.242,8.61
4.4736,146.064,8.74
4.7266,150.879,8.82
4.7266,145.591,8.73
4.963,151.58,8.83
4.9926,147.643,8.76
5.2579,150.15,8.81
5.2687,145.225,8.72
