Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
NGC4602,12:40:36.8,-05:07:58.8,2000.0

Beginning of Night,East Track Start (NGC4602),East Track End (NGC4602),East Track Length (NGC4602),West Track Start (NGC4602),West Track End (NGC4602),West Track Length (NGC4602),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,19:41:25,21:07:36,5171,23:07:54,00:34:03,5169,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,19:37:29,21:03:41,5171,23:03:58,00:30:07,5169,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,19:33:33,20:59:45,5171,23:00:02,00:26:11,5169,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,19:29:38,20:55:49,5171,22:56:06,00:22:15,5169,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,19:25:42,20:51:53,5171,22:52:10,00:18:19,5169,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,19:21:46,20:47:57,5171,22:48:14,00:14:24,5169,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,19:17:50,20:44:01,5171,22:44:18,00:10:28,5169,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,19:13:54,20:40:05,5171,22:40:22,00:06:32,5169,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,19:09:58,20:36:09,5171,22:36:26,00:02:36,5169,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,19:06:02,20:32:13,5171,22:32:31,23:58:40,5169,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,19:02:06,20:28:17,5171,22:28:35,23:54:44,5169,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,18:58:10,20:24:21,5171,22:24:39,23:50:48,5169,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,18:54:14,20:20:26,5171,22:20:43,23:46:52,5169,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,18:50:18,20:16:30,5171,22:16:47,23:42:56,5169,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,18:46:23,20:12:34,5171,22:12:51,23:39:00,5169,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,18:42:27,20:08:38,5171,22:08:55,23:35:04,5169,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,18:38:31,20:04:42,5171,22:04:59,23:31:09,5169,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,18:34:35,20:00:46,5171,22:01:03,23:27:13,5169,18:31,08:31,87.3,16:03,17:26,03:43,05:05
2016-04-26,18:30:39,19:56:50,5171,21:57:07,23:23:17,5169,19:17,09:22,80.1,16:02,17:25,03:43,05:06
2016-04-27,18:26:43,19:52:54,5171,21:53:11,23:19:21,5169,20:08,10:10,71.6,16:01,17:24,03:44,05:07
2016-04-28,18:22:47,19:48:58,5171,21:49:16,23:15:25,5169,21:02,10:57,62.1,16:00,17:23,03:44,05:07
2016-04-29,18:18:51,19:45:02,5171,21:45:20,23:11:29,5169,21:59,11:41,51.7,15:59,17:22,03:45,05:08
2016-04-30,18:14:55,19:41:06,5171,21:41:24,23:07:33,5169,22:59,n/a,40.9,15:58,17:21,03:46,05:09
2016-05-01,18:10:59,19:37:11,5171,21:37:28,23:03:37,5169,00:02,12:23,30.2,15:57,17:21,03:46,05:10
2016-05-02,18:07:03,19:33:15,5171,21:33:32,22:59:41,5169,01:06,13:04,20.2,15:56,17:20,03:47,05:10
2016-05-03,18:03:08,19:29:19,5171,21:29:36,22:55:45,5169,02:13,13:45,11.6,15:56,17:19,03:47,05:11
2016-05-04,17:59:12,19:25:23,5171,21:25:40,22:51:49,5169,03:21,14:27,5.0,15:55,17:18,03:48,05:12
2016-05-05,17:55:16,19:21:27,5171,21:21:44,22:47:54,5169,04:30,15:11,1.1,15:54,17:18,03:49,05:12
2016-05-06,17:51:20,19:17:31,5171,21:17:48,22:43:58,5169,05:40,15:57,0.2,15:53,17:17,03:49,05:13
2016-05-07,17:47:24,19:13:35,5171,21:13:52,22:40:02,5169,06:47,16:47,2.3,15:52,17:16,03:50,05:14
2016-05-08,17:43:28,19:09:39,5171,21:09:57,22:36:06,5169,07:51,17:41,7.2,15:51,17:15,03:50,05:15
2016-05-09,17:39:32,19:05:43,5171,21:06:01,22:32:10,5169,08:49,18:38,14.3,15:51,17:15,03:51,05:15
2016-05-10,17:35:36,19:01:47,5171,21:02:05,22:28:14,5169,09:42,19:36,23.1,15:50,17:14,03:51,05:16
2016-05-11,17:31:40,18:57:51,5171,20:58:09,22:24:18,5169,10:28,20:35,32.8,15:49,17:14,03:52,05:17
2016-05-12,17:27:44,18:53:56,5171,20:54:13,22:20:22,5169,11:10,21:34,42.9,15:48,17:13,03:53,05:17
2016-05-13,17:23:48,18:50:00,5171,20:50:17,22:16:26,5169,11:47,22:30,53.0,15:48,17:12,03:53,05:18
2016-05-14,17:19:53,18:46:04,5171,20:46:21,22:12:30,5169,n/a,23:25,62.8,15:47,17:12,03:54,05:19
2016-05-15,17:15:57,18:42:08,5171,20:42:25,22:08:34,5169,12:22,00:19,71.8,15:46,17:11,03:54,05:19
2016-05-16,17:12:01,18:38:12,5171,20:38:29,22:04:39,5169,12:55,01:12,79.9,15:46,17:11,03:55,05:20
2016-05-17,17:08:05,18:34:16,5171,20:34:33,22:00:43,5169,13:27,02:04,86.9,15:45,17:10,03:55,05:21
2016-05-18,17:04:09,18:30:20,5171,20:30:37,21:56:47,5169,14:00,02:57,92.5,15:44,17:10,03:56,05:21
2016-05-19,17:00:13,18:26:24,5171,20:26:42,21:52:51,5169,14:33,03:49,96.7,15:44,17:09,03:56,05:22
2016-05-20,16:56:17,18:22:28,5171,20:22:46,21:48:55,5169,15:09,04:42,99.1,15:43,17:09,03:57,05:23
2016-05-21,16:52:21,18:18:32,5171,20:18:50,21:44:59,5169,15:47,05:35,99.8,15:43,17:09,03:58,05:23
2016-05-22,16:48:25,18:14:37,5171,20:14:54,21:41:03,5169,16:29,06:28,98.6,15:42,17:08,03:58,05:24
2016-05-23,16:44:29,18:10:41,5171,20:10:58,21:37:07,5169,17:15,07:19,95.6,15:42,17:08,03:59,05:25
2016-05-24,16:40:34,18:06:45,5171,20:07:02,21:33:11,5169,18:04,08:09,90.7,15:41,17:07,03:59,05:25
2016-05-25,16:36:38,18:02:49,5171,20:03:06,21:29:15,5169,18:57,08:56,84.0,15:41,17:07,04:00,05:26
2016-05-26,16:32:42,17:58:53,5171,19:59:10,21:25:19,5169,19:53,09:40,75.8,15:41,17:07,04:00,05:27
2016-05-27,16:28:46,17:54:57,5171,19:55:14,21:21:24,5169,20:52,10:22,66.3,15:40,17:07,04:01,05:27
2016-05-28,16:24:50,17:51:01,5171,19:51:18,21:17:28,5169,21:52,11:03,55.7,15:40,17:06,04:01,05:28
2016-05-29,16:20:54,17:47:05,5171,19:47:22,21:13:32,5169,22:54,11:42,44.6,15:40,17:06,04:02,05:28
2016-05-30,16:16:58,17:43:09,5171,19:43:26,21:09:36,5169,23:57,n/a,33.6,15:39,17:06,04:02,05:29
2016-05-31,16:13:02,17:39:13,5171,19:39:31,21:05:40,5169,01:02,12:22,23.1,15:39,17:06,04:03,05:29
