Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
MCG-03-58-009,22:53:40.9,-17:28:44.0,2000.0

Beginning of Night,East Track Start (MCG-03-58-009),East Track End (MCG-03-58-009),East Track Length (MCG-03-58-009),West Track Start (MCG-03-58-009),West Track End (MCG-03-58-009),West Track Length (MCG-03-58-009),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-13,04:57:15,04:57:30,14,n/a,n/a,0,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,04:53:19,04:58:11,291,n/a,n/a,0,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,04:49:23,04:58:53,569,n/a,n/a,0,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,04:45:27,04:59:34,846,n/a,n/a,0,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,04:41:32,05:00:16,1124,n/a,n/a,0,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,04:37:36,05:00:58,1401,n/a,n/a,0,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,04:33:40,05:01:39,1679,n/a,n/a,0,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,04:29:44,05:02:21,1957,n/a,n/a,0,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,04:25:48,05:03:03,2235,n/a,n/a,0,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,04:21:52,05:03:45,2513,n/a,n/a,0,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,04:17:56,05:04:27,2791,n/a,n/a,0,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,04:14:00,05:05:09,3069,n/a,n/a,0,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,04:10:04,05:05:52,3347,n/a,n/a,0,18:31,08:31,87.3,16:03,17:26,03:43,05:05
2016-04-26,04:06:08,05:06:34,3625,n/a,n/a,0,19:17,09:22,80.1,16:02,17:25,03:43,05:06
2016-04-27,04:02:13,05:05:24,3791,n/a,n/a,0,20:08,10:10,71.6,16:01,17:24,03:44,05:07
2016-04-28,03:58:17,05:01:28,3791,n/a,n/a,0,21:02,10:57,62.1,16:00,17:23,03:44,05:07
2016-04-29,03:54:21,04:57:32,3791,n/a,n/a,0,21:59,11:41,51.7,15:59,17:22,03:45,05:08
2016-04-30,03:50:25,04:53:36,3791,n/a,n/a,0,22:59,n/a,40.9,15:58,17:21,03:46,05:09
2016-05-01,03:46:29,04:49:40,3791,n/a,n/a,0,00:02,12:23,30.2,15:57,17:21,03:46,05:10
2016-05-02,03:42:33,04:45:44,3791,n/a,n/a,0,01:06,13:04,20.2,15:56,17:20,03:47,05:10
2016-05-03,03:38:37,04:41:48,3791,n/a,n/a,0,02:13,13:45,11.6,15:56,17:19,03:47,05:11
2016-05-04,03:34:41,04:37:53,3791,n/a,n/a,0,03:21,14:27,5.0,15:55,17:18,03:48,05:12
2016-05-05,03:30:45,04:33:57,3791,n/a,n/a,0,04:30,15:11,1.1,15:54,17:18,03:49,05:12
2016-05-06,03:26:49,04:30:01,3791,n/a,n/a,0,05:40,15:57,0.2,15:53,17:17,03:49,05:13
2016-05-07,03:22:53,04:26:05,3791,n/a,n/a,0,06:47,16:47,2.3,15:52,17:16,03:50,05:14
2016-05-08,03:18:58,04:22:09,3791,n/a,n/a,0,07:51,17:41,7.2,15:51,17:15,03:50,05:15
2016-05-09,03:15:02,04:18:13,3791,n/a,n/a,0,08:49,18:38,14.3,15:51,17:15,03:51,05:15
2016-05-10,03:11:06,04:14:17,3791,n/a,n/a,0,09:42,19:36,23.1,15:50,17:14,03:51,05:16
2016-05-11,03:07:10,04:10:21,3791,n/a,n/a,0,10:28,20:35,32.8,15:49,17:14,03:52,05:17
2016-05-12,03:03:14,04:06:25,3791,n/a,n/a,0,11:10,21:34,42.9,15:48,17:13,03:53,05:17
2016-05-13,02:59:18,04:02:29,3791,n/a,n/a,0,11:47,22:30,53.0,15:48,17:12,03:53,05:18
2016-05-14,02:55:22,03:58:33,3791,n/a,n/a,0,n/a,23:25,62.8,15:47,17:12,03:54,05:19
2016-05-15,02:51:26,03:54:38,3791,n/a,n/a,0,12:22,00:19,71.8,15:46,17:11,03:54,05:19
2016-05-16,02:47:30,03:50:42,3791,n/a,n/a,0,12:55,01:12,79.9,15:46,17:11,03:55,05:20
2016-05-17,02:43:34,03:46:46,3791,n/a,n/a,0,13:27,02:04,86.9,15:45,17:10,03:55,05:21
2016-05-18,02:39:38,03:42:50,3791,n/a,n/a,0,14:00,02:57,92.5,15:44,17:10,03:56,05:21
2016-05-19,02:35:43,03:38:54,3791,n/a,n/a,0,14:33,03:49,96.7,15:44,17:09,03:56,05:22
2016-05-20,02:31:47,03:34:58,3791,n/a,n/a,0,15:09,04:42,99.1,15:43,17:09,03:57,05:23
2016-05-21,02:27:51,03:31:02,3791,n/a,n/a,0,15:47,05:35,99.8,15:43,17:09,03:58,05:23
2016-05-22,02:23:55,03:27:06,3791,n/a,n/a,0,16:29,06:28,98.6,15:42,17:08,03:58,05:24
2016-05-23,02:19:59,03:23:10,3791,n/a,n/a,0,17:15,07:19,95.6,15:42,17:08,03:59,05:25
2016-05-24,02:16:03,03:19:14,3791,n/a,n/a,0,18:04,08:09,90.7,15:41,17:07,03:59,05:25
2016-05-25,02:12:07,03:15:18,3791,n/a,n/a,0,18:57,08:56,84.0,15:41,17:07,04:00,05:26
2016-05-26,02:08:11,03:11:22,3791,n/a,n/a,0,19:53,09:40,75.8,15:41,17:07,04:00,05:27
2016-05-27,02:04:15,03:07:27,3791,n/a,n/a,0,20:52,10:22,66.3,15:40,17:07,04:01,05:27
2016-05-28,02:00:19,03:03:31,3791,n/a,n/a,0,21:52,11:03,55.7,15:40,17:06,04:01,05:28
2016-05-29,01:56:23,02:59:35,3791,n/a,n/a,0,22:54,11:42,44.6,15:40,17:06,04:02,05:28
2016-05-30,01:52:28,02:55:39,3791,n/a,n/a,0,23:57,n/a,33.6,15:39,17:06,04:02,05:29
2016-05-31,01:48:32,02:51:43,3791,n/a,n/a,0,01:02,12:22,23.1,15:39,17:06,04:03,05:29
2016-06-01,01:44:36,02:47:47,3791,n/a,n/a,0,02:09,13:03,13.9,15:39,17:06,04:03,05:30
2016-06-02,01:40:40,02:43:51,3791,n/a,n/a,0,03:17,13:46,6.7,15:38,17:06,04:03,05:31
2016-06-03,01:36:44,02:39:55,3791,n/a,n/a,0,04:25,14:33,2.0,15:38,17:05,04:04,05:31
2016-06-04,01:32:48,02:35:59,3791,n/a,n/a,0,05:31,15:25,0.2,15:38,17:05,04:04,05:32
2016-06-05,01:28:52,02:32:03,3791,n/a,n/a,0,06:33,16:20,1.3,15:38,17:05,04:05,05:32
2016-06-06,01:24:56,02:28:07,3791,n/a,n/a,0,07:30,17:19,5.0,15:38,17:05,04:05,05:33
2016-06-07,01:21:00,02:24:12,3791,n/a,n/a,0,08:21,18:19,11.0,15:38,17:05,04:06,05:33
2016-06-08,01:17:04,02:20:16,3791,n/a,n/a,0,09:05,19:19,18.7,15:38,17:05,04:06,05:33
2016-06-09,01:13:08,02:16:20,3791,n/a,n/a,0,09:46,20:18,27.5,15:38,17:05,04:06,05:34
2016-06-10,01:09:12,02:12:24,3791,n/a,n/a,0,10:22,21:16,37.0,15:38,17:05,04:07,05:34
2016-06-11,01:05:17,02:08:28,3791,n/a,n/a,0,10:56,22:11,46.8,15:38,17:05,04:07,05:35
2016-06-12,01:01:21,02:04:32,3791,n/a,n/a,0,11:29,23:05,56.5,15:38,17:05,04:07,05:35
2016-06-13,00:57:25,02:00:36,3791,n/a,n/a,0,n/a,23:58,65.8,15:38,17:05,04:08,05:35
2016-06-14,00:53:29,01:56:40,3791,n/a,n/a,0,12:01,00:50,74.4,15:38,17:05,04:08,05:36
2016-06-15,00:49:33,01:52:44,3791,n/a,n/a,0,12:34,01:43,82.1,15:38,17:06,04:08,05:36
2016-06-16,00:45:37,01:48:48,3791,n/a,n/a,0,13:09,02:36,88.8,15:38,17:06,04:09,05:36
2016-06-17,00:41:41,01:44:52,3791,n/a,n/a,0,13:46,03:29,94.0,15:38,17:06,04:09,05:37
2016-06-18,00:37:45,01:40:57,3791,n/a,n/a,0,14:27,04:22,97.7,15:38,17:06,04:09,05:37
2016-06-19,00:33:49,01:37:01,3791,05:34:58,05:37:43,164,15:11,05:15,99.6,15:38,17:06,04:09,05:37
2016-06-20,00:29:53,01:33:05,3791,05:31:02,05:37:56,413,15:59,06:06,99.5,15:39,17:06,04:10,05:37
2016-06-21,00:25:57,01:29:09,3791,05:27:06,05:38:08,661,16:52,06:54,97.4,15:39,17:07,04:10,05:38
2016-06-22,00:22:02,01:25:13,3791,05:23:10,05:38:19,908,17:48,07:40,93.2,15:39,17:07,04:10,05:38
2016-06-23,00:18:06,01:21:17,3791,05:19:15,05:38:28,1153,18:46,08:23,87.0,15:39,17:07,04:10,05:38
2016-06-24,00:14:10,01:17:21,3791,05:15:19,05:38:36,1397,19:46,09:04,79.0,15:40,17:07,04:10,05:38
2016-06-25,00:10:14,01:13:25,3791,05:11:23,05:38:42,1639,20:47,09:44,69.4,15:40,17:08,04:10,05:38
2016-06-26,00:06:18,01:09:29,3791,05:07:27,05:38:47,1880,21:49,10:22,58.7,15:40,17:08,04:11,05:38
2016-06-27,00:02:22,01:05:33,3791,05:03:31,05:38:51,2120,22:52,11:02,47.4,15:41,17:08,04:11,05:38
2016-06-28,23:58:26,01:01:37,3791,04:59:35,05:38:53,2358,23:57,11:43,36.1,15:41,17:09,04:11,05:38
2016-06-29,23:54:30,00:57:42,3791,04:55:39,05:38:54,2595,01:02,n/a,25.4,15:41,17:09,04:11,05:38
2016-06-30,23:50:34,00:53:46,3791,04:51:43,05:38:53,2830,02:08,12:26,15.9,15:42,17:09,04:11,05:38
2016-07-01,23:46:38,00:49:50,3791,04:47:47,05:38:51,3064,03:13,13:14,8.3,15:42,17:10,04:11,05:38
2016-07-02,23:42:42,00:45:54,3791,04:43:51,05:38:48,3296,04:16,14:06,3.1,15:43,17:10,04:11,05:38
2016-07-03,23:38:47,00:41:58,3791,04:39:55,05:38:42,3526,05:15,15:02,0.5,15:43,17:10,04:11,05:38
2016-07-04,23:34:51,00:38:02,3791,04:35:59,05:38:36,3756,06:09,16:02,0.5,15:43,17:11,04:11,05:38
2016-07-05,23:30:55,00:34:06,3791,04:32:04,05:35:41,3817,06:57,17:02,3.1,15:44,17:11,04:11,05:38
2016-07-06,23:26:59,00:30:10,3791,04:28:08,05:31:45,3817,07:40,18:03,7.8,15:44,17:12,04:11,05:38
2016-07-07,23:23:03,00:26:14,3791,04:24:12,05:27:49,3817,08:19,19:02,14.4,15:45,17:12,04:11,05:38
2016-07-08,23:19:07,00:22:18,3791,04:20:16,05:23:53,3817,08:55,19:59,22.2,15:45,17:12,04:10,05:37
