Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
UGC08663,13:41:39.3,+05:01:58.3,2000.0

Beginning of Night,East Track Start (UGC08663),East Track End (UGC08663),East Track Length (UGC08663),West Track Start (UGC08663),West Track End (UGC08663),West Track Length (UGC08663),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,21:32:24,00:43:57,11492,n/a,n/a,0,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,21:28:28,00:40:01,11492,n/a,n/a,0,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,21:24:32,00:36:05,11492,n/a,n/a,0,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,21:20:36,00:32:09,11492,n/a,n/a,0,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,21:16:40,00:28:13,11492,n/a,n/a,0,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,21:12:44,00:24:17,11492,n/a,n/a,0,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,21:08:48,00:20:21,11492,n/a,n/a,0,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,21:04:52,00:16:25,11492,n/a,n/a,0,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,21:00:56,00:12:29,11492,n/a,n/a,0,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,20:57:01,00:08:33,11492,n/a,n/a,0,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,20:53:05,00:04:37,11492,n/a,n/a,0,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,20:49:09,00:00:42,11492,n/a,n/a,0,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,20:45:13,23:56:46,11492,n/a,n/a,0,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,20:41:17,23:52:50,11492,n/a,n/a,0,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,20:37:21,23:48:54,11492,n/a,n/a,0,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,20:33:25,23:44:58,11492,n/a,n/a,0,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,20:29:29,23:41:02,11492,n/a,n/a,0,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,20:25:33,23:37:06,11492,n/a,n/a,0,18:31,08:31,87.3,16:03,17:26,03:43,05:05
2016-04-26,20:21:37,23:33:10,11492,n/a,n/a,0,19:17,09:22,80.1,16:02,17:25,03:43,05:06
2016-04-27,20:17:41,23:29:14,11492,n/a,n/a,0,20:08,10:10,71.6,16:01,17:24,03:44,05:07
2016-04-28,20:13:46,23:25:18,11492,n/a,n/a,0,21:02,10:57,62.1,16:00,17:23,03:44,05:07
2016-04-29,20:09:50,23:21:22,11492,n/a,n/a,0,21:59,11:41,51.7,15:59,17:22,03:45,05:08
2016-04-30,20:05:54,23:17:27,11492,n/a,n/a,0,22:59,n/a,40.9,15:58,17:21,03:46,05:09
2016-05-01,20:01:58,23:13:31,11492,n/a,n/a,0,00:02,12:23,30.2,15:57,17:21,03:46,05:10
2016-05-02,19:58:02,23:09:35,11492,n/a,n/a,0,01:06,13:04,20.2,15:56,17:20,03:47,05:10
2016-05-03,19:54:06,23:05:39,11492,n/a,n/a,0,02:13,13:45,11.6,15:56,17:19,03:47,05:11
2016-05-04,19:50:10,23:01:43,11492,n/a,n/a,0,03:21,14:27,5.0,15:55,17:18,03:48,05:12
2016-05-05,19:46:14,22:57:47,11492,n/a,n/a,0,04:30,15:11,1.1,15:54,17:18,03:49,05:12
2016-05-06,19:42:18,22:53:51,11492,n/a,n/a,0,05:40,15:57,0.2,15:53,17:17,03:49,05:13
2016-05-07,19:38:22,22:49:55,11492,n/a,n/a,0,06:47,16:47,2.3,15:52,17:16,03:50,05:14
2016-05-08,19:34:26,22:45:59,11492,n/a,n/a,0,07:51,17:41,7.2,15:51,17:15,03:50,05:15
2016-05-09,19:30:31,22:42:03,11492,n/a,n/a,0,08:49,18:38,14.3,15:51,17:15,03:51,05:15
2016-05-10,19:26:35,22:38:07,11492,n/a,n/a,0,09:42,19:36,23.1,15:50,17:14,03:51,05:16
2016-05-11,19:22:39,22:34:12,11492,n/a,n/a,0,10:28,20:35,32.8,15:49,17:14,03:52,05:17
2016-05-12,19:18:43,22:30:16,11492,n/a,n/a,0,11:10,21:34,42.9,15:48,17:13,03:53,05:17
2016-05-13,19:14:47,22:26:20,11492,n/a,n/a,0,11:47,22:30,53.0,15:48,17:12,03:53,05:18
2016-05-14,19:10:51,22:22:24,11492,n/a,n/a,0,n/a,23:25,62.8,15:47,17:12,03:54,05:19
2016-05-15,19:06:55,22:18:28,11492,n/a,n/a,0,12:22,00:19,71.8,15:46,17:11,03:54,05:19
2016-05-16,19:02:59,22:14:32,11492,n/a,n/a,0,12:55,01:12,79.9,15:46,17:11,03:55,05:20
2016-05-17,18:59:03,22:10:36,11492,n/a,n/a,0,13:27,02:04,86.9,15:45,17:10,03:55,05:21
2016-05-18,18:55:07,22:06:40,11492,n/a,n/a,0,14:00,02:57,92.5,15:44,17:10,03:56,05:21
2016-05-19,18:51:11,22:02:44,11492,n/a,n/a,0,14:33,03:49,96.7,15:44,17:09,03:56,05:22
2016-05-20,18:47:16,21:58:48,11492,n/a,n/a,0,15:09,04:42,99.1,15:43,17:09,03:57,05:23
2016-05-21,18:43:20,21:54:52,11492,n/a,n/a,0,15:47,05:35,99.8,15:43,17:09,03:58,05:23
2016-05-22,18:39:24,21:50:57,11492,n/a,n/a,0,16:29,06:28,98.6,15:42,17:08,03:58,05:24
2016-05-23,18:35:28,21:47:01,11492,n/a,n/a,0,17:15,07:19,95.6,15:42,17:08,03:59,05:25
2016-05-24,18:31:32,21:43:05,11492,n/a,n/a,0,18:04,08:09,90.7,15:41,17:07,03:59,05:25
2016-05-25,18:27:36,21:39:09,11492,n/a,n/a,0,18:57,08:56,84.0,15:41,17:07,04:00,05:26
2016-05-26,18:23:40,21:35:13,11492,n/a,n/a,0,19:53,09:40,75.8,15:41,17:07,04:00,05:27
2016-05-27,18:19:44,21:31:17,11492,n/a,n/a,0,20:52,10:22,66.3,15:40,17:07,04:01,05:27
2016-05-28,18:15:48,21:27:21,11492,n/a,n/a,0,21:52,11:03,55.7,15:40,17:06,04:01,05:28
2016-05-29,18:11:52,21:23:25,11492,n/a,n/a,0,22:54,11:42,44.6,15:40,17:06,04:02,05:28
2016-05-30,18:07:56,21:19:29,11492,n/a,n/a,0,23:57,n/a,33.6,15:39,17:06,04:02,05:29
2016-05-31,18:04:01,21:15:33,11492,n/a,n/a,0,01:02,12:22,23.1,15:39,17:06,04:03,05:29
2016-06-01,18:00:05,21:11:37,11492,n/a,n/a,0,02:09,13:03,13.9,15:39,17:06,04:03,05:30
2016-06-02,17:56:09,21:07:42,11492,n/a,n/a,0,03:17,13:46,6.7,15:38,17:06,04:03,05:31
2016-06-03,17:52:13,21:03:46,11492,n/a,n/a,0,04:25,14:33,2.0,15:38,17:05,04:04,05:31
2016-06-04,17:48:17,20:59:50,11492,n/a,n/a,0,05:31,15:25,0.2,15:38,17:05,04:04,05:32
2016-06-05,17:44:21,20:55:54,11492,n/a,n/a,0,06:33,16:20,1.3,15:38,17:05,04:05,05:32
2016-06-06,17:40:25,20:51:58,11492,n/a,n/a,0,07:30,17:19,5.0,15:38,17:05,04:05,05:33
2016-06-07,17:36:29,20:48:02,11492,n/a,n/a,0,08:21,18:19,11.0,15:38,17:05,04:06,05:33
2016-06-08,17:32:33,20:44:06,11492,n/a,n/a,0,09:05,19:19,18.7,15:38,17:05,04:06,05:33
2016-06-09,17:28:37,20:40:10,11492,n/a,n/a,0,09:46,20:18,27.5,15:38,17:05,04:06,05:34
2016-06-10,17:24:41,20:36:14,11492,n/a,n/a,0,10:22,21:16,37.0,15:38,17:05,04:07,05:34
2016-06-11,17:20:46,20:32:18,11492,n/a,n/a,0,10:56,22:11,46.8,15:38,17:05,04:07,05:35
2016-06-12,17:16:50,20:28:22,11492,n/a,n/a,0,11:29,23:05,56.5,15:38,17:05,04:07,05:35
2016-06-13,17:12:54,20:24:27,11492,n/a,n/a,0,n/a,23:58,65.8,15:38,17:05,04:08,05:35
2016-06-14,17:08:58,20:20:31,11492,n/a,n/a,0,12:01,00:50,74.4,15:38,17:05,04:08,05:36
2016-06-15,17:05:02,20:16:35,11492,n/a,n/a,0,12:34,01:43,82.1,15:38,17:06,04:08,05:36
2016-06-16,17:01:06,20:12:39,11492,n/a,n/a,0,13:09,02:36,88.8,15:38,17:06,04:09,05:36
2016-06-17,16:57:10,20:08:43,11492,n/a,n/a,0,13:46,03:29,94.0,15:38,17:06,04:09,05:37
2016-06-18,16:53:14,20:04:47,11492,n/a,n/a,0,14:27,04:22,97.7,15:38,17:06,04:09,05:37
2016-06-19,16:49:18,20:00:51,11492,n/a,n/a,0,15:11,05:15,99.6,15:38,17:06,04:09,05:37
2016-06-20,16:45:22,19:56:55,11492,n/a,n/a,0,15:59,06:06,99.5,15:39,17:06,04:10,05:37
2016-06-21,16:41:26,19:52:59,11492,n/a,n/a,0,16:52,06:54,97.4,15:39,17:07,04:10,05:38
2016-06-22,16:37:31,19:49:03,11492,n/a,n/a,0,17:48,07:40,93.2,15:39,17:07,04:10,05:38
2016-06-23,16:33:35,19:45:07,11492,n/a,n/a,0,18:46,08:23,87.0,15:39,17:07,04:10,05:38
2016-06-24,16:29:39,19:41:12,11492,n/a,n/a,0,19:46,09:04,79.0,15:40,17:07,04:10,05:38
2016-06-25,16:25:43,19:37:16,11492,n/a,n/a,0,20:47,09:44,69.4,15:40,17:08,04:10,05:38
2016-06-26,16:21:47,19:33:20,11492,n/a,n/a,0,21:49,10:22,58.7,15:40,17:08,04:11,05:38
2016-06-27,16:17:51,19:29:24,11492,n/a,n/a,0,22:52,11:02,47.4,15:41,17:08,04:11,05:38
2016-06-28,16:13:55,19:25:28,11492,n/a,n/a,0,23:57,11:43,36.1,15:41,17:09,04:11,05:38
2016-06-29,16:09:59,19:21:32,11492,n/a,n/a,0,01:02,n/a,25.4,15:41,17:09,04:11,05:38
2016-06-30,16:06:03,19:17:36,11492,n/a,n/a,0,02:08,12:26,15.9,15:42,17:09,04:11,05:38
2016-07-01,16:02:07,19:13:40,11492,n/a,n/a,0,03:13,13:14,8.3,15:42,17:10,04:11,05:38
2016-07-02,15:58:11,19:09:44,11492,n/a,n/a,0,04:16,14:06,3.1,15:43,17:10,04:11,05:38
2016-07-03,15:54:15,19:05:48,11492,n/a,n/a,0,05:15,15:02,0.5,15:43,17:10,04:11,05:38
2016-07-04,15:50:20,19:01:52,11492,n/a,n/a,0,06:09,16:02,0.5,15:43,17:11,04:11,05:38
2016-07-05,15:46:24,18:57:56,11492,n/a,n/a,0,06:57,17:02,3.1,15:44,17:11,04:11,05:38
2016-07-06,15:44:52,18:54:01,11348,n/a,n/a,0,07:40,18:03,7.8,15:44,17:12,04:11,05:38
2016-07-07,15:45:21,18:50:05,11083,n/a,n/a,0,08:19,19:02,14.4,15:45,17:12,04:11,05:38
2016-07-08,15:45:51,18:46:09,10817,n/a,n/a,0,08:55,19:59,22.2,15:45,17:12,04:10,05:37
2016-07-09,15:46:22,18:42:13,10550,n/a,n/a,0,09:29,20:55,31.0,15:46,17:13,04:10,05:37
2016-07-10,15:46:54,18:38:17,10282,n/a,n/a,0,10:01,21:49,40.3,15:46,17:13,04:10,05:37
