Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
NGC6868,20:09:54.1,-48:22:46.4,2000.0

Beginning of Night,East Track Start (NGC6868),East Track End (NGC6868),East Track Length (NGC6868),West Track Start (NGC6868),West Track End (NGC6868),West Track Length (NGC6868),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,01:55:41,03:15:57,4816,n/a,n/a,0,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,01:51:45,03:12:01,4816,n/a,n/a,0,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,01:47:49,03:08:06,4816,n/a,n/a,0,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,01:43:53,03:04:10,4816,n/a,n/a,0,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,01:39:57,03:00:14,4816,n/a,n/a,0,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,01:36:01,02:56:18,4816,n/a,n/a,0,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,01:32:05,02:52:22,4816,n/a,n/a,0,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,01:28:09,02:48:26,4816,n/a,n/a,0,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,01:24:13,02:44:30,4816,n/a,n/a,0,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,01:20:18,02:40:34,4816,n/a,n/a,0,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,01:16:22,02:36:38,4816,n/a,n/a,0,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,01:12:26,02:32:42,4816,n/a,n/a,0,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,01:08:30,02:28:46,4816,n/a,n/a,0,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,01:04:34,02:24:51,4816,n/a,n/a,0,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,01:00:38,02:20:55,4816,n/a,n/a,0,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,00:56:42,02:16:59,4816,n/a,n/a,0,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,00:52:46,02:13:03,4816,n/a,n/a,0,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,00:48:50,02:09:07,4816,n/a,n/a,0,18:31,08:31,87.3,16:03,17:26,03:43,05:05
2016-04-26,00:44:54,02:05:11,4816,n/a,n/a,0,19:17,09:22,80.1,16:02,17:25,03:43,05:06
2016-04-27,00:40:58,02:01:15,4816,n/a,n/a,0,20:08,10:10,71.6,16:01,17:24,03:44,05:07
2016-04-28,00:37:03,01:57:19,4816,n/a,n/a,0,21:02,10:57,62.1,16:00,17:23,03:44,05:07
2016-04-29,00:33:07,01:53:23,4816,n/a,n/a,0,21:59,11:41,51.7,15:59,17:22,03:45,05:08
2016-04-30,00:29:11,01:49:27,4816,n/a,n/a,0,22:59,n/a,40.9,15:58,17:21,03:46,05:09
2016-05-01,00:25:15,01:45:31,4816,n/a,n/a,0,00:02,12:23,30.2,15:57,17:21,03:46,05:10
2016-05-02,00:21:19,01:41:36,4816,n/a,n/a,0,01:06,13:04,20.2,15:56,17:20,03:47,05:10
2016-05-03,00:17:23,01:37:40,4816,n/a,n/a,0,02:13,13:45,11.6,15:56,17:19,03:47,05:11
2016-05-04,00:13:27,01:33:44,4816,n/a,n/a,0,03:21,14:27,5.0,15:55,17:18,03:48,05:12
2016-05-05,00:09:31,01:29:48,4816,n/a,n/a,0,04:30,15:11,1.1,15:54,17:18,03:49,05:12
2016-05-06,00:05:35,01:25:52,4816,n/a,n/a,0,05:40,15:57,0.2,15:53,17:17,03:49,05:13
2016-05-07,00:01:39,01:21:56,4816,n/a,n/a,0,06:47,16:47,2.3,15:52,17:16,03:50,05:14
2016-05-08,23:57:43,01:18:00,4816,n/a,n/a,0,07:51,17:41,7.2,15:51,17:15,03:50,05:15
2016-05-09,23:53:48,01:14:04,4816,n/a,n/a,0,08:49,18:38,14.3,15:51,17:15,03:51,05:15
2016-05-10,23:49:52,01:10:08,4816,n/a,n/a,0,09:42,19:36,23.1,15:50,17:14,03:51,05:16
2016-05-11,23:45:56,01:06:12,4816,n/a,n/a,0,10:28,20:35,32.8,15:49,17:14,03:52,05:17
2016-05-12,23:42:00,01:02:16,4816,n/a,n/a,0,11:10,21:34,42.9,15:48,17:13,03:53,05:17
2016-05-13,23:38:04,00:58:21,4816,n/a,n/a,0,11:47,22:30,53.0,15:48,17:12,03:53,05:18
2016-05-14,23:34:08,00:54:25,4816,n/a,n/a,0,n/a,23:25,62.8,15:47,17:12,03:54,05:19
2016-05-15,23:30:12,00:50:29,4816,n/a,n/a,0,12:22,00:19,71.8,15:46,17:11,03:54,05:19
2016-05-16,23:26:16,00:46:33,4816,n/a,n/a,0,12:55,01:12,79.9,15:46,17:11,03:55,05:20
2016-05-17,23:22:20,00:42:37,4816,n/a,n/a,0,13:27,02:04,86.9,15:45,17:10,03:55,05:21
2016-05-18,23:18:24,00:38:41,4816,05:17:28,05:21:54,265,14:00,02:57,92.5,15:44,17:10,03:56,05:21
2016-05-19,23:14:28,00:34:45,4816,05:13:32,05:22:34,541,14:33,03:49,96.7,15:44,17:09,03:56,05:22
2016-05-20,23:10:33,00:30:49,4816,05:09:36,05:23:13,816,15:09,04:42,99.1,15:43,17:09,03:57,05:23
2016-05-21,23:06:37,00:26:53,4816,05:05:41,05:23:52,1091,15:47,05:35,99.8,15:43,17:09,03:58,05:23
2016-05-22,23:02:41,00:22:57,4816,05:01:45,05:24:31,1366,16:29,06:28,98.6,15:42,17:08,03:58,05:24
2016-05-23,22:58:45,00:19:01,4816,04:57:49,05:25:09,1640,17:15,07:19,95.6,15:42,17:08,03:59,05:25
2016-05-24,22:54:49,00:15:06,4816,04:53:53,05:25:47,1914,18:04,08:09,90.7,15:41,17:07,03:59,05:25
2016-05-25,22:50:53,00:11:10,4816,04:49:57,05:26:24,2187,18:57,08:56,84.0,15:41,17:07,04:00,05:26
2016-05-26,22:46:57,00:07:14,4816,04:46:01,05:27:01,2460,19:53,09:40,75.8,15:41,17:07,04:00,05:27
2016-05-27,22:43:01,00:03:18,4816,04:42:05,05:27:37,2732,20:52,10:22,66.3,15:40,17:07,04:01,05:27
2016-05-28,22:39:05,23:59:22,4816,04:38:09,05:28:13,3003,21:52,11:03,55.7,15:40,17:06,04:01,05:28
2016-05-29,22:35:09,23:55:26,4816,04:34:13,05:28:48,3274,22:54,11:42,44.6,15:40,17:06,04:02,05:28
2016-05-30,22:31:13,23:51:30,4816,04:30:17,05:29:22,3544,23:57,n/a,33.6,15:39,17:06,04:02,05:29
2016-05-31,22:27:18,23:47:34,4816,04:26:21,05:29:56,3814,01:02,12:22,23.1,15:39,17:06,04:03,05:29
2016-06-01,22:23:22,23:43:38,4816,04:22:26,05:30:29,4083,02:09,13:03,13.9,15:39,17:06,04:03,05:30
2016-06-02,22:19:26,23:39:42,4816,04:18:30,05:31:01,4351,03:17,13:46,6.7,15:38,17:06,04:03,05:31
2016-06-03,22:15:30,23:35:46,4816,04:14:34,05:31:33,4618,04:25,14:33,2.0,15:38,17:05,04:04,05:31
2016-06-04,22:11:34,23:31:51,4816,04:10:38,05:31:06,4828,05:31,15:25,0.2,15:38,17:05,04:04,05:32
2016-06-05,22:07:38,23:27:55,4816,04:06:42,05:27:10,4828,06:33,16:20,1.3,15:38,17:05,04:05,05:32
2016-06-06,22:03:42,23:23:59,4816,04:02:46,05:23:14,4828,07:30,17:19,5.0,15:38,17:05,04:05,05:33
2016-06-07,21:59:46,23:20:03,4816,03:58:50,05:19:18,4828,08:21,18:19,11.0,15:38,17:05,04:06,05:33
2016-06-08,21:55:50,23:16:07,4816,03:54:54,05:15:22,4828,09:05,19:19,18.7,15:38,17:05,04:06,05:33
2016-06-09,21:51:54,23:12:11,4816,03:50:58,05:11:26,4828,09:46,20:18,27.5,15:38,17:05,04:06,05:34
