Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
UGC04239,08:07:58.1,+05:12:24.0,2000.0

Beginning of Night,East Track Start (UGC04239),East Track End (UGC04239),East Track Length (UGC04239),West Track Start (UGC04239),West Track End (UGC04239),West Track Length (UGC04239),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,16:23:10,19:09:56,10005,n/a,n/a,0,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,16:21:57,19:06:00,9842,n/a,n/a,0,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,16:20:44,19:02:04,9680,n/a,n/a,0,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,16:19:31,18:58:08,9516,n/a,n/a,0,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,16:18:19,18:54:12,9353,n/a,n/a,0,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,16:17:08,18:50:16,9188,n/a,n/a,0,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,16:15:57,18:46:20,9023,n/a,n/a,0,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,16:14:47,18:42:24,8857,n/a,n/a,0,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,16:13:37,18:38:28,8691,n/a,n/a,0,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,16:12:28,18:34:33,8524,n/a,n/a,0,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,16:11:20,18:30:37,8356,n/a,n/a,0,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,16:10:13,18:26:41,8188,n/a,n/a,0,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,16:09:06,18:22:45,8018,n/a,n/a,0,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,16:08:00,18:18:49,7848,n/a,n/a,0,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,16:06:55,18:14:53,7677,n/a,n/a,0,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,16:05:51,18:10:57,7505,n/a,n/a,0,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,16:04:48,18:07:01,7333,n/a,n/a,0,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,16:03:46,18:03:05,7159,n/a,n/a,0,18:31,08:31,87.3,16:03,17:26,03:43,05:05
2016-04-26,16:02:44,17:59:09,6985,n/a,n/a,0,19:17,09:22,80.1,16:02,17:25,03:43,05:06
2016-04-27,16:01:44,17:55:13,6809,n/a,n/a,0,20:08,10:10,71.6,16:01,17:24,03:44,05:07
2016-04-28,16:00:44,17:51:18,6633,n/a,n/a,0,21:02,10:57,62.1,16:00,17:23,03:44,05:07
2016-04-29,15:59:46,17:47:22,6456,n/a,n/a,0,21:59,11:41,51.7,15:59,17:22,03:45,05:08
2016-04-30,15:58:48,17:43:26,6277,n/a,n/a,0,22:59,n/a,40.9,15:58,17:21,03:46,05:09
2016-05-01,15:57:52,17:39:30,6098,n/a,n/a,0,00:02,12:23,30.2,15:57,17:21,03:46,05:10
2016-05-02,15:56:56,17:35:34,5917,n/a,n/a,0,01:06,13:04,20.2,15:56,17:20,03:47,05:10
2016-05-03,15:56:02,17:31:38,5735,n/a,n/a,0,02:13,13:45,11.6,15:56,17:19,03:47,05:11
2016-05-04,15:55:09,17:27:42,5553,n/a,n/a,0,03:21,14:27,5.0,15:55,17:18,03:48,05:12
2016-05-05,15:54:17,17:23:46,5369,n/a,n/a,0,04:30,15:11,1.1,15:54,17:18,03:49,05:12
2016-05-06,15:53:26,17:19:50,5184,n/a,n/a,0,05:40,15:57,0.2,15:53,17:17,03:49,05:13
2016-05-07,15:52:37,17:15:54,4997,n/a,n/a,0,06:47,16:47,2.3,15:52,17:16,03:50,05:14
2016-05-08,15:51:48,17:11:58,4810,n/a,n/a,0,07:51,17:41,7.2,15:51,17:15,03:50,05:15
2016-05-09,15:51:01,17:08:03,4621,n/a,n/a,0,08:49,18:38,14.3,15:51,17:15,03:51,05:15
2016-05-10,15:50:15,17:04:07,4431,n/a,n/a,0,09:42,19:36,23.1,15:50,17:14,03:51,05:16
2016-05-11,15:49:30,17:00:11,4240,n/a,n/a,0,10:28,20:35,32.8,15:49,17:14,03:52,05:17
2016-05-12,15:48:47,16:56:15,4047,n/a,n/a,0,11:10,21:34,42.9,15:48,17:13,03:53,05:17
2016-05-13,15:48:05,16:52:19,3854,n/a,n/a,0,11:47,22:30,53.0,15:48,17:12,03:53,05:18
2016-05-14,15:47:24,16:48:23,3658,n/a,n/a,0,n/a,23:25,62.8,15:47,17:12,03:54,05:19
2016-05-15,15:46:45,16:44:27,3462,n/a,n/a,0,12:22,00:19,71.8,15:46,17:11,03:54,05:19
2016-05-16,15:46:07,16:40:31,3264,n/a,n/a,0,12:55,01:12,79.9,15:46,17:11,03:55,05:20
2016-05-17,15:45:30,16:36:35,3065,n/a,n/a,0,13:27,02:04,86.9,15:45,17:10,03:55,05:21
