Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
UGC08186,13:05:58.6,+03:57:23.2,2000.0

Beginning of Night,East Track Start (UGC08186),East Track End (UGC08186),East Track Length (UGC08186),West Track Start (UGC08186),West Track End (UGC08186),West Track Length (UGC08186),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,20:50:14,00:15:30,12315,n/a,n/a,0,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,20:46:18,00:11:34,12315,n/a,n/a,0,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,20:42:22,00:07:38,12315,n/a,n/a,0,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,20:38:26,00:03:42,12315,n/a,n/a,0,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,20:34:31,23:59:46,12315,n/a,n/a,0,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,20:30:35,23:55:50,12315,n/a,n/a,0,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,20:26:39,23:51:54,12315,n/a,n/a,0,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,20:22:43,23:47:58,12315,n/a,n/a,0,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,20:18:47,23:44:02,12315,n/a,n/a,0,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,20:14:51,23:40:06,12315,n/a,n/a,0,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,20:10:55,23:36:10,12315,n/a,n/a,0,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,20:06:59,23:32:15,12315,n/a,n/a,0,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,20:03:03,23:28:19,12315,n/a,n/a,0,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,19:59:07,23:24:23,12315,n/a,n/a,0,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,19:55:11,23:20:27,12315,n/a,n/a,0,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,19:51:16,23:16:31,12315,n/a,n/a,0,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,19:47:20,23:12:35,12315,n/a,n/a,0,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,19:43:24,23:08:39,12315,n/a,n/a,0,18:31,08:31,87.3,16:03,17:26,03:43,05:05
2016-04-26,19:39:28,23:04:43,12315,n/a,n/a,0,19:17,09:22,80.1,16:02,17:25,03:43,05:06
