Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
UGC06312,11:18:00.2,+07:50:41.6,2000.0

Beginning of Night,East Track Start (UGC06312),East Track End (UGC06312),East Track Length (UGC06312),West Track Start (UGC06312),West Track End (UGC06312),West Track Length (UGC06312),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-04-08,19:33:34,21:57:39,8644,n/a,n/a,0,06:55,17:23,3.7,16:23,17:44,03:32,04:54
2016-04-09,19:29:38,21:53:43,8644,n/a,n/a,0,08:03,18:11,9.6,16:21,17:43,03:33,04:54
2016-04-10,19:25:42,21:49:47,8644,n/a,n/a,0,09:07,19:02,17.7,16:20,17:42,03:33,04:55
2016-04-11,19:21:46,21:45:51,8644,n/a,n/a,0,10:06,19:56,27.3,16:19,17:41,03:34,04:56
2016-04-12,19:17:50,21:41:55,8644,n/a,n/a,0,11:00,20:52,37.7,16:18,17:39,03:35,04:56
2016-04-13,19:13:54,21:37:59,8644,n/a,n/a,0,11:48,21:49,48.4,16:17,17:38,03:35,04:57
2016-04-14,19:09:58,21:34:03,8644,n/a,n/a,0,n/a,22:46,58.7,16:15,17:37,03:36,04:58
2016-04-15,19:06:03,21:30:07,8644,n/a,n/a,0,12:31,23:42,68.5,16:14,17:36,03:36,04:58
2016-04-16,19:02:07,21:26:11,8644,n/a,n/a,0,13:10,00:37,77.2,16:13,17:35,03:37,04:59
2016-04-17,18:58:11,21:22:15,8644,n/a,n/a,0,13:46,01:31,84.8,16:12,17:34,03:38,05:00
2016-04-18,18:54:15,21:18:19,8644,n/a,n/a,0,14:20,02:24,91.0,16:11,17:33,03:38,05:00
2016-04-19,18:50:19,21:14:24,8644,n/a,n/a,0,14:52,03:17,95.6,16:10,17:32,03:39,05:01
2016-04-20,18:46:23,21:10:28,8644,n/a,n/a,0,15:25,04:09,98.6,16:09,17:31,03:40,05:02
2016-04-21,18:42:27,21:06:32,8644,n/a,n/a,0,15:58,05:02,99.9,16:08,17:30,03:40,05:03
2016-04-22,18:38:31,21:02:36,8644,n/a,n/a,0,16:32,05:54,99.3,16:06,17:29,03:41,05:03
2016-04-23,18:34:35,20:58:40,8644,n/a,n/a,0,17:09,06:47,97.0,16:05,17:28,03:41,05:04
2016-04-24,18:30:39,20:54:44,8644,n/a,n/a,0,17:48,07:40,93.0,16:04,17:27,03:42,05:05
2016-04-25,18:26:44,20:50:48,8644,n/a,n/a,0,18:31,08:31,87.3,16:03,17:26,03:43,05:05
2016-04-26,18:22:48,20:46:52,8644,n/a,n/a,0,19:17,09:22,80.1,16:02,17:25,03:43,05:06
2016-04-27,18:18:52,20:42:56,8644,n/a,n/a,0,20:08,10:10,71.6,16:01,17:24,03:44,05:07
2016-04-28,18:14:56,20:39:00,8644,n/a,n/a,0,21:02,10:57,62.1,16:00,17:23,03:44,05:07
2016-04-29,18:11:00,20:35:05,8644,n/a,n/a,0,21:59,11:41,51.7,15:59,17:22,03:45,05:08
2016-04-30,18:07:04,20:31:09,8644,n/a,n/a,0,22:59,n/a,40.9,15:58,17:21,03:46,05:09
2016-05-01,18:03:08,20:27:13,8644,n/a,n/a,0,00:02,12:23,30.2,15:57,17:21,03:46,05:10
2016-05-02,17:59:12,20:23:17,8644,n/a,n/a,0,01:06,13:04,20.2,15:56,17:20,03:47,05:10
2016-05-03,17:55:16,20:19:21,8644,n/a,n/a,0,02:13,13:45,11.6,15:56,17:19,03:47,05:11
2016-05-04,17:51:20,20:15:25,8644,n/a,n/a,0,03:21,14:27,5.0,15:55,17:18,03:48,05:12
