AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
H1101-232,1188,NGC3511,2,"('165.90708', '-23.49194')","(165.84904, -23.08678)",0.774767830066,0.546134875842,152.572262169,112.469271359,98.4261152003,x,1333.9,145.9,13.8,x,23.3,8.0,69.8,x,68.5,NGC3511,.SAS5..,69.2,76.0,SAB(s)c;HII    Sy1,SAB(s)c;HII    Sy1,0.003699
H1101-232,1188,NGC3513,2,"('165.90708', '-23.49194')","(165.942, -23.2455)",0.449909552565,0.370547350793,141.547087419,95.5475222075,57.0501301842,x,1418.6,230.6,13.153,x,20.9,7.9,67.7,120.0,52.6,NGC3513,.SBT5..,37.4,75.0,SB(s)c         HII,SB(s)c         HII,0.003983
