R (kpc),vel,err
-20.7022,177.7859683420157,6.11
-18.406,177.99209994422847,6.11
-14.5791,182.87731737401094,6.11
-11.5249,186.18050014247498,6.11
-9.008,178.8379503119294,6.11
-6.9253,179.0258042351282,6.11
-4.5187,158.0511521400163,6.11
-3.746,141.47025099453379,6.1
-2.5317,120.38694825195014,6.1
-1.3026,47.840809392385026,6.09
1.5749,-60.883964222057216,6.09
3.2308,-95.55062875183688,6.1
4.8793,-119.62131658658839,6.1
8.5002,-157.13726818931903,6.11
10.5756,-163.00440315279468,6.11
15.2856,-173.1769469506661,6.11
21.0775,-174.16901875047878,6.11
23.0499,-173.9923345200107,6.11
