R (arcmin),vel
-2.813,2484.085
-2.501,2484.288
-1.981,2489.099
-1.566,2492.352
-1.224,2485.121
-0.941,2485.306
-0.614,2464.65
-0.509,2448.321
-0.344,2427.558
-0.177,2356.114
0.214,2249.041
0.439,2214.901
0.663,2191.196
1.155,2154.25
1.437,2148.472
2.077,2138.454
2.864,2137.477
3.132,2137.651
