R (kpc),vel
-20.7022,177.7859683420157
-18.406,177.99209994422847
-14.5791,182.87731737401094
-11.5249,186.18050014247498
-9.008,178.8379503119294
-6.9253,179.0258042351282
-4.5187,158.0511521400163
-3.746,141.47025099453379
-2.5317,120.38694825195014
-1.3026,47.840809392385026
1.5749,-60.883964222057216
3.2308,-95.55062875183688
4.8793,-119.62131658658839
8.5002,-157.13726818931903
10.5756,-163.00440315279468
15.2856,-173.1769469506661
21.0775,-174.16901875047878
23.0499,-173.9923345200107
