AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
RBS2070,2dFGRSS357Z063,x,"('359.7825', '-30.6275')","(359.90758, -30.65589)",0.05727780765746251,193.5820878594231,239.1202734522396,x,8740.0,231.0,123.0992462,x,32.9,22.2,47.6,x,x,x,0,x,x,x,x,0.0301
RBS2070,MCG-05-01-020,x,"('359.7825', '-30.6275')","(359.90754, -30.65583)",0.028365879103562208,200.42989925008942,237.2931127367798,x,8677.0,294.0,122.2119212,x,34.6,18.7,57.3,115.0,39.8,39.8,0,x,x,x,E,0.029891
RBS2070,2dFGRSS357Z078,x,"('359.7825', '-30.6275')","(359.793, -30.58767)",0.012685907224911377,100.37477099833501,86.24281685442573,x,8590.0,381.0,120.9859152,x,12.7,8.8,46.0,x,x,x,0,x,x,x,x,0.0296
RBS2070,2dFGRSS357Z094,x,"('359.7825', '-30.6275')","(359.7025, -30.56839)",0.0005566220546857203,94.29225294809766,191.96578315495918,x,8605.0,366.0,121.1974431,x,11.6,4.9,64.9,x,x,x,0,x,x,x,x,0.029652
RBS2070,6dFJ2359377-303921,x,"('359.7825', '-30.6275')","(359.9075, -30.65581)",-99,-99,236.2544633305753,x,8642.0,329.0,121.7189633,x,x,x,x,x,x,x,0,x,x,x,x,0.029774
