Name,Target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z,z_target,impact,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,Vhel_measured,e_Vhel_measured,Vrot,e_Vrot,Vrot_corrected,e_Vrot_corrected,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,PA_observed,azimuth,approach_side,PA_adjust,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC1566,HE0435-5304,Lya,"1666, 1770",1,1690,204,11,5.60E+13,4.05E+12,35.7,2.1,59.5,3.6,blended with 1633,0.005017,0.42616,396.1356017,65.00175,-54.93781,69.21208333,-52.97972222,1504,1501.9,14.9,-64,13,-86,21,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,62.3,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,RBS567,Lya,"1542, 1776",1,1664,517,10,2.21E+14,1.14E+13,55.5,2.1,92.4,3.6,,0.005017,0.243,422.6192722,65.00175,-54.93781,69.91125,-53.19194444,1504,1501.9,14.9,-64,13,-86,21,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,69.3,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0439-5254,Lya,"1090, 1194",1,1148,72,11,1.46E+13,2.43E+12,42.5,1.8,70.8,3,hard to fit cont,0.005017,1.053,459.3244451,65.00175,-54.93781,70.05,-52.805,1504,1501.9,14.9,-64,13,-86,21,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,65,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0439-5254,Lya,"1554, 1752",1,1649,501,9,2.09E+14,9.09E+12,52.7,1.9,87.7,3.1,hard to fit cont,0.005017,1.053,459.3244451,65.00175,-54.93781,70.05,-52.805,1504,1501.9,14.9,-64,13,-86,21,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,170,65,northwest,-100,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC3513,H1101-232,Lya,"1038, 1286",1,1182,635,21,2.79E+14,3.17E+13,69.5,2.6,115.8,4.2,r:Lya at 1203,0.003983,0.186,60.29115893,165.942,-23.2455,165.9070833,-23.49194444,1194,1203.7,12,11,9,20,22,1419,13.9,22.07,19.2,6,5.2,146.97,30,7,120,120,67.4,northwest,-150,.SBT5..,169.1,0.79,75,102618,2,15.2,SB(s)c_HII,0,TF,12.1,-99.99,0.49,0.62,-99.99,-99.99
NGC3633,SDSSJ112005.00+041323.0,Lya,"2276, 2300",2,2285,27,10,6.28E+12,2.50E+12,8.4,2.5,14,4.2,"very narrow, weak",0.008673,0.54689,468.3543547,170.10924,3.58561,170.0208333,4.223055556,2600,2587.2,6.6,-149,6,-157,11,2884,41.7,18.36,6.608,0.63,0.23,129.44,72,2,70,70,77.9,northeast,-20,.SA.1*/,72.14,0.33,72,111966,1,29.8,SAa:_sp_HII,0,TF,13.8,14.5,0.9,0.14,0.46,0.11
NGC3633,SDSSJ112005.00+041323.0,Lya,"2528, 2612",5,2578,116,17,2.69E+01,4.67E+12,30.8,3.4,51.2,5.6,,0.008673,0.54689,468.3543547,170.10924,3.58561,170.0208333,4.223055556,2600,2587.2,6.6,-149,6,-157,11,2884,41.7,18.36,6.608,0.63,0.23,129.44,72,2,70,70,77.9,northeast,-20,.SA.1*/,72.14,0.33,72,111966,1,29.8,SAa:_sp_HII,0,TF,13.8,14.5,0.9,0.14,0.46,0.11
NGC3633,RX_J1121.2+0326,Lya,"2546, 2666",2,2605,180,75,4.41E+13,2.35E+13,39.4,3.5,65.6,5.8,noisy,0.008673,0.152,183.819801,170.10924,3.58561,170.3083333,3.429722222,2600,2587.2,6.6,-149,6,-157,11,2884,41.7,18.36,6.608,0.63,0.23,129.44,72,2,70,70,58.1,northeast,-20,.SA.1*/,72.14,0.33,72,111966,1,29.8,SAa:_sp_HII,0,TF,13.8,14.5,0.9,0.14,0.46,0.11
NGC4536,3C273.0,Lya,"1482, 1700",1,1580,369,2,1.43E+14,1.05E+12,42,2.2,70,3.6,in pilot paper,0.006031,0.15834,348.6695236,188.61271,2.18814,187.2779167,2.0525,1808,1866.9,32.9,129,32,139,37,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,130,10.8,southeast,40,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,3C273.0,Lya,"2089, 2243",5,2156,42,3,7.95E+12,5.39E+11,57.9,3.8,96.4,6.3,in pilot paper,0.006031,0.15834,348.6695236,188.61271,2.18814,187.2779167,2.0525,1808,1866.9,32.9,129,32,139,37,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,130,10.8,southeast,40,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,3C273.0,Lya,"2244, 2344",5,2267,27,2,5.07E+12,4.12E+11,36.1,2.2,60.1,3.7,in pilot paper,0.006031,0.15834,348.6695236,188.61271,2.18814,187.2779167,2.0525,1808,1866.9,32.9,129,32,139,37,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,130,10.8,southeast,40,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,HE1228+0131,Lya,"1426, 1558",1,1495,160,3,3.99E+13,8.60E+11,33.6,2.4,55.9,4.1,in pilot paper,0.006031,0.117,337.5998935,188.61271,2.18814,187.7083333,1.256388889,1808,1866.9,32.9,129,32,139,37,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,130,50.9,southeast,40,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,HE1228+0131,Lya,"1558, 1602",1,1571,23,2,4.57E+12,3.91E+11,17.9,1.4,29.7,2.3,in pilot paper,0.006031,0.117,337.5998935,188.61271,2.18814,187.7083333,1.256388889,1808,1866.9,32.9,129,32,139,37,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,130,50.9,southeast,40,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,HE1228+0131,Lya,"1602, 1720",8,1686,321,2,1.68E+14,2.59E+12,34,5.1,56.6,8.5,"in pilot paper, totally blended with 1721",0.006031,0.117,337.5998935,188.61271,2.18814,187.7083333,1.256388889,1808,1866.9,32.9,129,32,139,37,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,130,50.9,southeast,40,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,HE1228+0131,Lya,"1720, 1830",1,1721,303,2,1.54E+14,2.43E+12,33,2.3,54.9,3.8,"in pilot paper, totally blended with 1686",0.006031,0.117,337.5998935,188.61271,2.18814,187.7083333,1.256388889,1808,1866.9,32.9,129,32,139,37,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,130,50.9,southeast,40,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,HE1228+0131,Lya,"1830, 1950",1,1854,78,3,1.60E+13,7.08E+11,41.3,2.4,68.7,4,in pilot paper,0.006031,0.117,337.5998935,188.61271,2.18814,187.7083333,1.256388889,1808,1866.9,32.9,129,32,139,37,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,130,50.9,southeast,40,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,HE1228+0131,Lya,"2222, 2408",1,2311,343,3,1.26E+14,1.41E+12,39.3,2.8,65.4,4.6,in pilot paper,0.006031,0.117,337.5998935,188.61271,2.18814,187.7083333,1.256388889,1808,1866.9,32.9,129,32,139,37,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,130,50.9,southeast,40,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4536,LBQS1230-0015,Lya,"2372, 2442",1,2406,107,9,2.55E+13,2.78E+12,24.9,1.4,41.5,2.3,in pilot paper,0.006031,0.47095,711.5494113,188.61271,2.18814,188.2670833,-0.526111111,1808,1866.9,32.9,129,32,139,37,2103,14.9,29.62,15.4,5.6,2.9,180.05,61,3,95,130,87.7,southeast,40,.SXT4..,455.15,0.43,130,170002,4,21,SAB(rs)bc;HII_Sbrst,0,Ceph,10.6,13.8,2,1.8,0.11,0.095
NGC4939,PG1302-102,Lya,"3402, 3492",1,3448,72,6,1.50E+13,1.28E+12,29.4,2,49,3.3,in pilot paper,0.010374,0.2784,253.7118826,196.05996,-10.33961,196.3875,-10.55527778,3110,3092.8,33,-204,25,-275,49,3382,37.5,41.85,28.88,11,7.3,228.54,48,4,5,5,61.2,southwest,95,.SAS4..,329.72,0.51,10,102770,2,35.7,SA(s)bc_Sy2,0,TF,11.6,-99.99,5.5,6.5,-99.99,-99.99
NGC5364,SDSSJ135726.27+043541.4,Lya,"1088, 1160",1,1124,83,11,1.87E+13,2.95E+12,24.2,2.5,40.2,4.2,blended,0.00414,1.23453,164.5608968,209.05,5.01447,209.3595833,4.594722222,1241,1238,16.9,130,13,55,27,1516,18.1,33.38,19.03,8.2,4.6,195.53,57,3,48,48,84.3,northeast,-42,.SAT4P.,405.65,0.65,30,100480,5,15.6,SA(rs)bc_pec_HII,0,TF,11.1,-99.99,1.9,2.2,-99.99,-99.99
NGC5364,SDSSJ135726.27+043541.4,Lya,"1264, 1324",2,1296,92,9,2.23E+13,2.71E+12,20.2,1.4,33.6,2.4,,0.00414,1.23453,164.5608968,209.05,5.01447,209.3595833,4.594722222,1241,1238,16.9,130,13,55,27,1516,18.1,33.38,19.03,8.2,4.6,195.53,57,3,48,48,84.3,northeast,-42,.SAT4P.,405.65,0.65,30,100480,5,15.6,SA(rs)bc_pec_HII,0,TF,11.1,-99.99,1.9,2.2,-99.99,-99.99
NGC5786,QSO1500-4140,Lya,"3100, 3184",1,3141,177,16,5.06E+13,6.95E+12,27.1,2.2,45.2,3.7,,0.01,0.335,453.4142438,224.73442,-42.01336,225.89125,-41.87333333,2998,2974.6,21.5,156,19,172,28,3124,29.8,30.11,13.85,3.6,1.7,182.1,65,2,80,80,0.8,southwest,170,PSBS4..,140.65,0.49,63,101354,3,31.8,(R'_2)SAB(s)bc,0,TF,9.56,-99.99,25,14,-99.99,-99.99
UGC09760,SDSSJ151237.15+012846.0,Lya,"1954, 2120",1,2051,496,36,1.87E+14,3.65E+13,57.4,2.1,95.6,3.4,noisy,0.006748,0.26625,122.680136,228.01018,1.69874,228.155,1.479444444,2023,2093.7,15.5,-46,12,-46,16,2245,26.75,21.21,1.909,4.2,2.9,142.99,90,6,57,57,89.6,southwest,147,.S..7./,147.28,0.09,57,-99,-99,-99.99,Sd,0,TF,14.6,21.8,0.17,0.15,0.00023,0.0002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3198,RX_J1017.5+4702,Lya,"577, 683",1,629,71,20,1.46E+13,4.42E+12,38.9,3.7,64.7,6.2,very weak,0.002202,0.33544,370.037,154.97897,45.54962,154.3791667,47.04027778,660,660,0,152,10,152,10,882,13.7,31.67,11.08,5.7,2,188.56,70,2,40,40,55.3,northeast,-50,.SBT5..,510.68,0.39,35,112476,1,8.9,SB(rs)c_HII,0,Ceph,10.6,14.6,1.7,1.4,0.04,0.033
NGC3198,SDSSJ101622.60+470643.0,no,x,x,x,x,x,x,x,x,x,x,x,,0.002202,0.82222,401.223,154.97897,45.54962,154.0941667,47.11194444,660,660,0,152,10,152,10,882,13.7,31.67,11.08,5.7,2,188.56,70,2,40,40,61.1,northeast,-50,.SBT5..,510.68,0.39,35,112476,1,8.9,SB(rs)c_HII,0,Ceph,10.6,14.6,1.7,1.4,0.04,0.033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4565,RX_J1236.0+2641,Lya,"926, 1094",1,1009,365,29,1.07E+14,1.31E+13,54,2.1,89.9,3.4,hard to fit,0.004103,0.20915,147.146,189.08658,25.98767,189.0166667,26.69333333,1230,1230,5,253,10,253,10,1522,11.9,37.57,12.02,13,4.1,212.15,71,1,134,134,40.9,southeast,44,.SAS3$/,950.94,0.13,136,120065,3,14.2,SA(s)b?_sp_Sy3_Sy1.9,0,TF,10.1,-99.99,2,3.1,-99.99,-99.99
NGC4565,RX_J1236.0+2641,Lya,"1094, 1222",4,1166,305,22,1.01E+14,1.36E+13,38.8,2.9,64.7,4.9,hard to fit,0.004103,0.20915,147.146,189.08658,25.98767,189.0166667,26.69333333,1230,1230,5,253,10,253,10,1522,11.9,37.57,12.02,13,4.1,212.15,71,1,134,134,40.9,southeast,44,.SAS3$/,950.94,0.13,136,120065,3,14.2,SA(s)b?_sp_Sy3_Sy1.9,0,TF,10.1,-99.99,2,3.1,-99.99,-99.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC04238,PG0804+761,Lya,"1077, 1237",1,1143,183,5,4.38E+13,1.31E+12,43.1,2.5,71.7,4.2,,0.00515,0.102,147.88,122.90321,76.42164,122.7445833,76.04527778,1544,1544,7,91.6,10,91.6,10,1639,22.4,13.8,4.417,2.6,0.83,106.3,75,1,65,65,59.2,northeast,-25,.SB.7..,143.93,0.58,83,113011,1,15.7,SBd,0,TF,12.9,-99.99,0.58,0.51,-99.99,-99.99
UGC04238,PG0804+761,Lya,"1467, 1577",4,1526,62,4,1.23E+13,7.52E+11,38.3,2.1,63.9,3.5,blended with Lya@1593,0.00515,0.102,147.88,122.90321,76.42164,122.7445833,76.04527778,1544,1544,7,91.6,10,91.6,10,1639,22.4,13.8,4.417,2.6,0.83,106.3,75,1,65,65,59.2,northeast,-25,.SB.7..,143.93,0.58,83,113011,1,15.7,SBd,0,TF,12.9,-99.99,0.58,0.51,-99.99,-99.99
UGC04238,PG0804+761,Lya,"1577, 1671",6,1593,32,3,6.14E+12,6.31E+11,35.1,2.4,58.5,4,blended with Lya@1526,0.00515,0.102,147.88,122.90321,76.42164,122.7445833,76.04527778,1544,1544,7,91.6,10,91.6,10,1639,22.4,13.8,4.417,2.6,0.83,106.3,75,1,65,65,59.2,northeast,-25,.SB.7..,143.93,0.58,83,113011,1,15.7,SBd,0,TF,12.9,-99.99,0.58,0.51,-99.99,-99.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3351,SDSSJ104335.90+115129.0,Lya,"588, 830",1,717,823,26,3.91E+14,4.53E+13,92.1,4.1,153.4,6.8,"SALT target, blended with Lya@882, hard to fit",0.002595,0.794,31.074,160.99042,11.70381,160.8995833,11.85805556,778,778,4,198,10,198,10,1049,10,21.35,18.79,2.4,2.1,143.64,28,7,163,13,43,northeast,-77,.SBR3..,444.79,0.68,13,100122,11,13.2,SB(r)b;HII_Sbrst,0,SNIIo,10.3,12.3,1.3,0.64,0.2,0.1
NGC3351,SDSSJ104335.90+115129.0,Lya,"800, 970",1,882,621,14,3.13E+14,3.63E+13,67,2.9,111.6,4.8,"SALT target, blended with Lya@717",0.002595,0.794,31.074,160.99042,11.70381,160.8995833,11.85805556,778,778,4,198,10,198,10,1049,10,21.35,18.79,2.4,2.1,143.64,28,7,163,13,43,northeast,-77,.SBR3..,444.79,0.68,13,100122,11,13.2,SB(r)b;HII_Sbrst,0,SNIIo,10.3,12.3,1.3,0.64,0.2,0.1
NGC3351,SDSSJ104335.90+115129.0,Lya,"960, 1102",1,1030,391,15,1.36E+14,1.12E+13,48.1,4.1,80.2,6.8,"SALT target, blended with Lya@882",0.002595,0.794,31.074,160.99042,11.70381,160.8995833,11.85805556,778,778,4,198,10,198,10,1049,10,21.35,18.79,2.4,2.1,143.64,28,7,163,13,43,northeast,-77,.SBR3..,444.79,0.68,13,100122,11,13.2,SB(r)b;HII_Sbrst,0,SNIIo,10.3,12.3,1.3,0.64,0.2,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC4529,MRK771,Lya,"2490, 2624",1,2553,240,10,6.41E+13,3.49E+12,40.3,1.9,67,3.1,looks blended,0.008459,0.06301,158.5,188.21519,20.1835,188.015,20.15833333,2536,2536,11,106.4,1,106.4,1,2834,47.9,10.75,3.871,1.3,0.46,89.47,69,2,105,105,22.6,northwest,15,.S..6*.,125.36,0.17,99,-99,-99,-99.99,Scd:,0,TF,13.8,15.4,1.2,0.64,0.26,0.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC6140,MRK876,Lya,"816, 1040",1,939,379,5,1.05E+14,1.71E+12,59.8,1.7,99.5,2.9,in pilot,0.003035,0.129,113.09,245.24233,65.39056,243.4883333,65.71972222,910,910,4,138.11,4.236,138.11,4.236,1035,8.13,6.716,4.836,4.1,3,64.67,44,4,60,94,20.5,southeast,4,.SBS6P.,378.57,0.72,95,113004,1,9.1,SB(s)cd_pec,0,TF,11.8,-99.99,0.2,0.56,-99.99,-99.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC5907,SBS1503+570,Lya,"632, 756",1,708,301,25,9.79E+13,1.45E+13,42.5,1.9,70.7,3.2,hard to fit,0.002225,0.35894,413.338,228.97404,56.32877,226.2316667,56.82222222,667,667,3,227.4,6.4,227.4,6.4,843,14.9,50.62,8.1,9.9,1.6,260.6,81,0,155,155,46.8,southeast,65,.SAS5*/,755.36,0.11,155,101322,3,7.7,SA(s)c:_sp_HII:,0,TF,11.1,12.1,1.2,1.1,0.49,0.45
