AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
3C273.0,1013,SDSSJ122815.96+014944.1,8,"('187.27792', '2.05222')","(187.0665, 1.82892)",0.00341418936946,3.54005993975e-84,41.2483851269,6.54790042685,90.5633276893,x,1198.4,185.4,16.87858892,x,3.5,1.8,59.3,40.0,3.4,0,x,x,x,x,x,0.003015
3C273.0,1013,CGCG014-054,8,"('187.27792', '2.05222')","(187.7659, 1.6757)",3.30256908967e-06,4.53619106223e-45,71.0687374802,21.3666328653,211.923696736,x,1399.2,386.2,19.70682874,x,7.7,4.4,55.2,80.0,47.7,MCG0-32-16,.IXS9P*,54.9,80.0,IAB(s)m pec:,IAB(s)m pec:,0.003686
3C273.0,1013,NGC4457,8,"('187.27792', '2.05222')","(187.24588, 3.57058)",1.62538114662e-08,4.1895221848e-30,111.032204074,56.3606511673,461.209030356,x,1178.0,165.0,17.4,x,14.7,10.0,47.2,75.0,76.2,NGC4457,RSXS0..,31.7,-99,(R)SAB(s)0/a   LINER,(R)SAB(s)0/a   LINER,0.002942
3C273.0,1013,NGC4600,8,"('187.27792', '2.05222')","(190.09566, 3.11775)",1.07756542502e-33,0.0,44.4461941324,7.70188288667,386.096578904,x,1147.1,134.1,7.3499999,x,3.9,2.2,55.9,65.0,4.3,NGC4600,.L.....,48.6,60.0,"S0(6),N","S0(6),N",0.002842
3C273.0,1013,VCC1465,8,"('187.27792', '2.05222')","(188.23154, 3.36042)",1.28476086575e-37,0.0,44.4461941324,7.70188288667,409.624438413,x,1029.7,16.7,14.50322845,x,3.9,3.6,24.5,x,x,VCC1465,.I?....,24.2,-99,I?,I?,0.002448
3C273.0,1013,VCC1457,8,"('187.27792', '2.05222')","(188.21062, 2.7973)",3.59835959188e-38,0.0,42.8606930872,7.11709210282,391.903092297,x,1336.2,323.2,18.82010179,x,3.7,2.2,53.1,2.0,49.4,0,x,x,x,"dE4pec?,N","dE4pec?,N",0.003472
3C273.0,1013,VCC1492,8,"('187.27792', '2.05222')","(188.32596, 2.04644)",1.44425765884e-43,0.0,25.0616554952,2.21652881777,248.842813999,x,966.5,-46.5,13.61260154,x,1.7,1.2,46.4,153.0,62.7,0,x,x,x,dE2?,dE2?,0.002241
3C273.0,1013,FGC1475,8,"('187.27792', '2.05222')","(189.22896, 1.61507)",5.75938371277e-44,0.0,43.6566776107,7.40756370205,434.713268156,x,884.9,-128.1,12.46337267,x,3.8,0.9,76.1,3.0,80.4,0,x,x,x,Irr(f),Irr(f),0.001971
