AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
PG1216+069,1903,IC3259,21,"('184.83708', '6.64389')","(185.95218, 7.18684)",9.59009992894e-12,4.29111651851e-64,92.6028016004,37.9854840696,457.285663367,x,1704.5,-198.5,21.25,x,11.3,4.9,64.3,x,48.9,IC3259,.SXS8$.,56.7,15.0,SAB(s)dm?      HII,SAB(s)dm?      HII,0.004689
PG1216+069,1903,VCC0340,21,"('184.83708', '6.64389')","(184.84219, 5.91047)",7.6988662463e-12,2.37068139611e-153,64.5641761706,17.3425200014,324.99546449,x,1802.6,-100.4,25.388484,x,6.7,2.7,66.4,160.0,19.6,VCC340,.......,51.9,-99,BCD or merger  HII,BCD or merger  HII,0.00502
PG1216+069,1903,VCC0329,21,"('184.83708', '6.64389')","(184.80745, 5.98591)",1.27966626841e-13,1.30005441393e-239,57.0492236373,13.2520187141,310.801101623,x,1919.6,16.6,27.03696335,x,5.6,2.5,63.9,x,x,VCC329,.I?....,64.1,-99,I?,I?,0.00541
PG1216+069,1903,VCC0274,21,"('184.83708', '6.64389')","(184.54597, 5.93236)",4.6776530842e-18,1.14674077215e-312,57.7502209837,13.6085634804,364.711867267,x,1931.5,28.5,27.20481055,x,5.7,2.3,66.2,x,x,0,x,x,x,BCD?,BCD?,0.00545
PG1216+069,1903,IC3267,21,"('184.83708', '6.64389')","(186.02303, 7.04128)",1.90741154953e-22,6.07874551532e-246,68.5003473144,19.7235138857,467.219075815,x,1529.4,-373.6,21.54069846,x,7.3,6.8,21.3,x,x,IC3267,.SAS6..,12.2,-99,SA(s)cd        HII,SA(s)cd        HII,0.004106
PG1216+069,1903,SDSSJ121807.19+055549.9,21,"('184.83708', '6.64389')","(184.53, 5.93055)",4.06505459187e-23,0.0,59.140894382,14.3310502058,416.471268825,x,2183.5,280.5,30.75404531,x,5.9,2.3,66.4,112.0,88.8,0,x,x,x,x,x,0.006291
PG1216+069,1903,SDSSJ122048.92+055854.4,21,"('184.83708', '6.64389')","(185.20388, 5.98178)",7.69293800526e-25,0.0,52.7581189835,11.1803398875,389.755838914,x,2097.7,194.7,29.54484781,x,5.0,2.5,60.0,61.0,89.8,0,x,x,x,x,x,0.006003
PG1216+069,1903,SDSSJ121913.80+055913.0,21,"('184.83708', '6.64389')","(184.8075, 5.98694)",2.97438159884e-28,0.0,38.7751498663,5.7243340224,308.698067405,x,1909.6,6.6,26.8961276,x,3.2,3.1,18.2,87.0,84.4,VCC329,.I?....,64.1,-99,x,x,0.005378
PG1216+069,1903,IC3229,21,"('184.83708', '6.64389')","(185.72, 6.67987)",4.80292284884e-33,0.0,46.0066764959,8.30186725984,396.595450388,x,1838.2,-64.8,25.88964703,x,4.1,2.6,50.2,20.0,67.7,IC3229,.S..4..,74.0,47.0,Sbc,Sbc,0.005137
PG1216+069,1903,VCC0321,21,"('184.83708', '6.64389')","(184.77479, 5.73894)",2.06987402505e-42,0.0,35.3621809093,4.68529614859,339.917811904,x,1524.5,-378.5,21.47125882,x,2.8,1.1,66.4,x,x,0,x,x,x,dE6,dE6,0.004093
PG1216+069,1903,[DS96]1218+0615,21,"('184.83708', '6.64389')","(185.20383, 5.98175)",-99,-99,-99,-99,381.953282123,x,2055.7,152.7,28.95329815,x,x,x,x,x,x,0,x,x,x,x,x,0.005864
