AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MS1228.6+1219,1286,IC3583,59,"('187.804583333', '12.0519444444')","(189.18121, 13.25933)",1.4845952902436191e-16,3.384000449199768e-153,74.84518802278988,23.912068082873972,447.6067288154487,x,1420.7,1121.0,-165.0,14.2,x,8.3,4.3,59.3,360.0,48.1,IC3583,.IB.9..,59.1,0.0,SmIII          HII,SmIII          HII,0.003739
MS1228.6+1219,1286,IC3468,59,"('187.804583333', '12.0519444444')","(188.05922, 10.25146)",3.2205507005056766e-17,4.17716984999386e-135,80.95678157068662,28.361188268477047,498.8822933047896,x,1587.6,1288.0,2.0,15.725,x,9.3,6.9,42.3,140.0,32.1,IC3468,.E.....,24.2,-99,"E1,N","E1,N",0.004296
MS1228.6+1219,1286,SDSSJ123204.35+122030.3,59,"('187.804583333', '12.0519444444')","(188.01814, 12.34176)",1.8085259803127393e-18,0.0,27.060759693886542,2.618969262897142,167.42278915235605,x,1906.9,1607.0,321.0,26.85799546,x,1.9,1.6,28.4,50.0,14.2,0,x,x,x,x,x,0.00536
MS1228.6+1219,1286,IC3506,59,"('187.804583333', '12.0519444444')","(188.52808, 12.7416)",3.931304130542297e-19,0.0,43.6566776107277,7.407563702054812,280.6602225837357,x,1790.9,1491.0,205.0,16.286,x,3.8,3.6,18.2,104.0,58.3,0,x,x,x,"dE0,N","dE0,N",0.004973
MS1228.6+1219,1286,VCC1148,59,"('187.804583333', '12.0519444444')","(187.24225, 12.66175)",2.639958605596497e-21,0.0,50.55306852161237,10.189357192679037,346.406574669954,x,1717.0,1417.0,131.0,24.18292223,x,4.7,4.1,28.4,155.0,17.0,0,x,x,x,E0,E0,0.004725
MS1228.6+1219,1286,VCC1093,59,"('187.804583333', '12.0519444444')","(187.07809, 11.70029)",2.491069968394297e-22,0.0,49.05876764093103,9.545941546018392,343.33614666773934,x,1760.9,1461.0,175.0,24.80178515,x,4.5,4.3,16.3,116.0,52.3,0,x,x,x,"dE0,N","dE0,N",0.004872
MS1228.6+1219,1286,VCC1565,59,"('187.804583333', '12.0519444444')","(188.62681, 11.73438)",2.137655444037422e-22,0.0,39.60724351420745,5.994747701113033,273.39661889177216,x,1285.8,986.0,-300.0,18.1096641,x,3.3,3.1,19.9,162.0,50.4,0,x,x,x,"dE0,N","dE0,N",0.003289
MS1228.6+1219,1286,IC3501,59,"('187.804583333', '12.0519444444')","(188.46508, 13.32244)",4.120424034343475e-24,0.0,53.483943519540084,11.517421586448938,380.40607065580434,x,1946.9,1647.0,361.0,15.3,x,5.1,3.8,40.5,115.0,88.1,0,x,x,x,d:E1,d:E1,0.005495
MS1228.6+1219,1286,VCC0871,59,"('187.804583333', '12.0519444444')","(186.5235, 12.55964)",8.218082542980747e-26,0.0,54.205369237839186,11.857824421031035,410.1876502988681,x,1727.0,1427.0,141.0,17.4,x,5.2,4.3,33.9,x,x,VCC871,.E?....,33.7,-99,"dE,N","dE,N",0.004759
MS1228.6+1219,1286,SDSSJ123214.57+120305.3,59,"('187.804583333', '12.0519444444')","(188.06075, 12.0515)",3.835991676870294e-26,0.0,12.215868886348156,0.46475800154489,93.35376628459382,x,1515.9,1216.0,-70.0,21.35061131,x,0.6,0.5,27.3,x,x,0,x,x,x,x,x,0.004056
MS1228.6+1219,1286,IC3331,59,"('187.804583333', '12.0519444444')","(186.52216, 11.81222)",3.0017167340297312e-27,0.0,59.83073840715335,14.696938456699069,466.6053991592498,x,1485.9,1186.0,-100.0,20.92872679,x,6.0,3.6,53.0,x,x,IC3331,.S?....,63.5,-99,"dS0,N","dS0,N",0.003955
