AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
PG1307+085,CGCG072-007,x,"('197.44583', '8.32972')","(197.31227, 8.53172)",439.853727782,x,7413.2,-127.2,104.411924,x,32.8,21.0,50.2,10.0,43.2,43.2,0,x,x,x,x,0.023746
PG1307+085,SDSSJ130918.61+083008.6,x,"('197.44583', '8.32972')","(197.32755, 8.50239)",385.842233974,x,7525.2,-239.2,105.9890184,x,16.0,4.5,73.7,179.0,33.1,33.1,0,x,x,x,x,0.02412
