AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
3C273.0,NGC4536,x,"('187.27792', '2.05222')","(188.61271, 2.18814)",0.034644681261401376,197.62313832387832,358.527920644852,x,2102.6,53.40000000000009,15.321,x,33.9,14.3,65.1,x,34.2,34.2,NGC4536,.SXT4..,64.7,130.0,SAB(rs)bc;HII  Sbrst,0.006031
3C273.0,NGC4527,x,"('187.27792', '2.05222')","(188.53509, 2.65366)",0.024819720655255773,199.62977872021068,362.9471282046116,x,2031.0,125.0,14.932,x,34.4,11.7,70.1,70.0,45.6,45.6,NGC4527,.SXS4..,70.2,67.0,SAB(s)bc;HII   LINER,0.005791
3C273.0,SDSSJ122950.58+020153.7,x,"('187.27792', '2.05222')","(187.46075, 2.03158)",0.002404830817746331,38.77514986628247,94.17837939649793,x,2083.6,72.40000000000009,29.34599276,x,3.2,1.8,56.5,x,x,x,0,x,x,x,x,0.005966
3C273.0,NGC4409,x,"('187.27792', '2.05222')","(186.74375, 2.49436)",0.0013835411868669413,92.6028016003856,223.18445157088334,x,1980.0,176.0,18.45,x,11.3,5.0,63.9,10.0,40.4,40.4,NGC4420,.SBR4*.,61.4,8.0,SB(r)bc:;HII   LINER,0.005621
3C273.0,UGC07612,x,"('187.27792', '2.05222')","(187.25892, 2.72319)",0.0001978604455641557,111.55282773524318,284.09655154269586,x,1870.2,285.79999999999995,24.25,x,14.8,7.8,58.4,x,36.6,36.6,UGC7612,.S..9*.,57.5,145.0,Sm:            HII,0.005254
3C273.0,IC3474,x,"('187.27792', '2.05222')","(188.15215, 2.66152)",1.3523093746873297e-05,105.76383533587814,346.9776244932616,x,2022.1,133.9000000000001,18.667,x,13.7,1.4,84.3,x,88.9,88.9,IC3474,.S..7./,82.8,36.0,Sd(f)          HII,0.005761
3C273.0,UGC07512,x,"('187.27792', '2.05222')","(186.42223, 2.15898)",2.3124067488449133e-08,59.83073840715335,227.10986712831797,x,1799.7,356.29999999999995,15.1,x,6.0,2.7,63.3,130.0,47.1,47.1,UGC7512,.IBS9..,63.5,130.0,ImIV,0.00502
3C273.0,UGC07642,x,"('187.27792', '2.05222')","(187.55731, 2.62471)",7.400681866679348e-09,72.33736635290393,302.0429684690592,x,1929.1,226.9000000000001,27.17085655,x,7.9,6.3,36.9,x,24.0,24.0,UGC7642,.IBS9..,37.4,130.0,SdmIII-IV      HII,0.005451
3C273.0,VCC1060,x,"('187.27792', '2.05222')","(187.01527, 2.90991)",5.274524372725274e-14,75.46623912564232,392.33455426743717,x,1779.4,376.5999999999999,25.06223439,x,8.4,1.3,81.4,x,x,x,VCC1060,.S?....,81.1,-99,S?             HII,0.004951
3C273.0,2dFGRSN389Z231,x,"('187.27792', '2.05222')","(188.19354, 1.56867)",7.53422782904485e-57,41.24838512685209,463.8484420763492,x,1823.0,333.0,25.67647003,x,3.5,1.6,63.5,x,x,x,0,x,x,x,x,0.0051
3C273.0,SDSSJ122658.42+022923.3,x,"('187.27792', '2.05222')","(186.74342, 2.48981)",6.609012992910023e-75,25.061655495164096,326.22204261959985,x,1922.0,234.0,27.07084759,x,1.7,1.6,16.3,148.0,82.7,82.7,NGC4420,.SBR4*.,61.4,8.0,x,0.005426
