AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MRC2251-178,3042,HIPASSJ2254-18,3,"('343.52458', '-17.58194')","(343.6474, -18.00054)",0.000287902133453,1.25877679667e-10,121.74843978,68.8595091472,319.511724761,x,2990.5,3267.0,225.0,42.12023615,x,16.8,10.1,53.1,40.0,55.6,ESO603-G27,.IBS9..,52.9,40.0,IB(s)m,IB(s)m,0.010898
MRC2251-178,3042,2dFGRSS924Z198,3,"('343.52458', '-17.58194')","(343.36075, -17.82269)",3.4962095612e-25,0.0,27.0607596939,2.6189692629,202.562119504,x,2872.0,3148.0,106.0,40.45110964,x,1.9,1.4,41.4,x,x,0,x,x,x,x,x,0.0105
MRC2251-178,3042,ESO603-IG023NED02,3,"('343.52458', '-17.58194')","(343.12154, -17.1805)",-99,-99,-99,-99,410.866683619,x,3006.3,3282.0,240.0,42.34236638,x,x,x,x,x,x,0,x,x,x,x,x,0.010948
