R (kpc),vel
-0.20601,89.4031
-0.20598,89.1386
-0.19388,89.4031
-0.19385,89.1696
-0.18175,89.4031
-0.18172,89.1696
-0.16978,85.6475
-0.15756,82.1701
-0.1575,82.1561
-0.14559,80.3294
-0.14537,80.4837
-0.13347,72.1419
-0.12104,60.6365
-0.10896,60.7314
-0.09689,49.9688
-0.08498,48.4593
-0.07283,48.3278
-0.0605,48.3558
-0.04855,44.4304
-0.03639,28.0033
-0.02428,22.7229
-0.01226,14.1897
8e-05,-11.5818
0.01203,-27.0323
0.02425,-28.2813
0.03639,-31.2566
0.04843,-31.4092
0.06066,-50.629
0.07289,-50.8572
0.0848,-50.3754
0.09702,-50.5819
0.10912,-54.8576
0.12128,-67.5527
0.13336,-68.701
0.14551,-69.7837
0.15767,-69.6543
0.16976,-72.2611
0.16979,-72.2503
0.18168,-73.0044
0.18185,-72.7489
0.19381,-73.0044
0.19395,-73.1314
