AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
3C66A,6076,UGC01841,x,"('35.665', '43.03556')","(35.79755, 42.99205)",0.7778073140536685,0.9390307740074492,280.1031918437632,421.3126250185247,162.74516939531065,x,6231.8,-155.80000000000018,87.77125098,x,56.2,76.6,42.8,x,x,UGC1841,.E.....,0.0,-99,E              LERG,E              LERG,0.021258
3C66A,6076,UGC01832,x,"('35.665', '43.03556')","(35.62966, 43.0653)",0.18148692865426735,0.1803618565142067,191.95503981081367,185.27850657860992,55.88383776114292,x,5771.7,304.3000000000002,81.29213857,x,32.5,13.6,65.2,155.0,66.0,UGC1832,.S..1..,64.1,163.0,Sa,Sa,0.019724
3C66A,6076,UGC01837,x,"('35.665', '43.03556')","(35.74358, 43.01202)",0.056610525389164675,0.05708294563970931,200.82942166294413,204.40626947332123,98.29472499950383,x,6440.7,-364.6999999999998,90.71463551,x,34.7,22.9,48.7,45.0,22.7,UGC1837,.L.....,43.6,25.0,S0,S0,0.021955
3C66A,6076,UGC01841NOTES01,x,"('35.665', '43.03556')","(35.804, 42.98778)",0.04135363399708467,0.05101202252211533,319.794880679388,561.9797514145861,178.17516293637078,x,6453.8,-377.8000000000002,90.89794148,x,68.1,21.8,71.3,140.0,75.2,UGC1841,.E.....,0.0,-99,E,E,0.022
3C66A,6076,CGCG538-050,x,"('35.665', '43.03556')","(35.57667, 42.80528)",0.00574430638756167,0.0006669644594438708,168.47252044358248,139.51741468361573,365.2343629756756,x,6211.6,-135.60000000000036,87.48776622,x,26.9,14.0,58.7,155.0,9.3,0,x,x,x,E,E,0.021195
