AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),acos[b/a] (deg),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
SDSSJ140428.30+335342.0,7884,KUG1402+341,2,"('211.117916667', '33.895')","(211.12182, 33.95337)",1.3901725382010923,1.4208001011488698,203.61616373963315,210.62256289391217,117.5156913,x,8177.5,7919,35,115.175796,x,35.4,12.7,68.97611743604764,72.30330014154215,120.0,63.2,0,x,x,x,Spiral,Spiral,0.026415,0.549,RT,1,0,1,7884,"7745, 8023",889pm28,2.82E14 pm 2.03E13,93.4pm 1.2,working,center is 7884. SDSSJ140425.82+335552.8 is probably a large satellite galaxy : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
MRC2251-178,9051,MCG-03-58-009,1,"('343.524583333', '-17.5819444444')","(343.42021, -17.47889)",0.3617590727244234,1.4260175592205409,319.1465428136347,559.5058882621345,320.0630657,x,8753.8,9030,-21,128.0,x,67.9,35.3,58.67565132441203,60.674687307733436,175.0,39.0,ESO603-G25,.S?....,48.6,27,Sc,Sc,0.030121,0.0661,SP,1,1,1,9051,"8958, 9098",60pm4,1.18E13 pm 8.73E11,46.4pm 2.7,"Lya, d:Lya","Lya labeled at 9051, d:Lya at 9040, center is 9028 : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
H1101-232,3580,MCG-04-26-019,2,"('165.907083333', '-23.4919444444')","(165.70883, -23.59161)",0.32579109312139554,0.2178150759231292,172.76942993194695,147.36905713208589,179.1539784,x,3846.2,3623,43,49.52,x,27.9,11.7,65.20613753694339,67.90209128142052,35.0,26.3,ESO502-G12,PSXT2..,59.1,30,(R:)SA:(s)ab   HII,(R:)SA:(s)ab   HII,0.012086,0.186,SP,1,1,1,3580,"3466, 3710",573pm12,2.67E14 pm 1.50E13,57.3pm 1.9,d:Lya,"strong, center is 3588, blended with H2:1, OVI?; p"
RBS2070,8966,MCG-05-01-020,7,"('359.7825', '-30.6275')","(359.90754, -30.65583)",0.2460320921402966,0.2566586147088297,200.42989925008942,203.52330579076198,237.2931127,x,8677,8961,-5,122.2119212,x,34.6,18.7,57.28487614439869,59.172917864564546,115.0,10.2,0,x,x,x,E,E,0.029891,0.165,NP,0,0,0,8966,"8832, 9110",777pm10,4.11E14 pm 1.91E13,76.8pm 1.8,Lya,"center is 8971, 2dFGRSS357Z063 appears to be another name for the same galaxy : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SBS0957+599,9469,MCG+10-14-058,2,"('150.260833333', '59.7375')","(150.2715, 59.824)",1.0457688555569047,1.40962360163368,261.24378146106494,362.07252312209494,206.1666703,x,9677.2,9501,32,136.2981995,x,50.8,16.3,71.28468645356993,75.16226651936863,165.0,18.6,0,x,x,x,x,x,0.031692,0.7475,SI,1,1,1,9469,"9428, 9518",78pm12,1.64E13 pm 2.88E12,31.2pm 4.0,Lya,center is 9473
MRK1014,7080,NGC0768,3,"('29.9591666667', '0.394722222222')","(29.67056, 0.52922)",0.010925325128160426,0.04218006143629302,230.98743791080605,277.06610222111254,486.1529329,x,6752.3,7021,-59,87.483,x,42.5,20.4,61.31459798588107,63.55450247290427,30.0,85.0,NGC768,.SBR4*.,61.4,30,SB(r)bc:,SB(r)bc:,0.023419,0.163,SP,1,1,1,7080,"6984, 7144",117pm11,2.46E13 pm 2.54E12,49.0pm 3.1,d:Lya,"center is 7064, IC1761 companion; p"
2dFGRS_S393Z082,1239,NGC1097,7,"('41.2533333333', '-30.1230555556')","(41.57937, -30.27489)",1.7023429359745292,1.855471794872975,304.0664893401213,503.62301079279524,111.9450754,x,1029.8,1271,32,20.038,x,63.3,34.8,56.649242425194174,58.4896296679951,145.0,26.7,NGC1097,.SBS3..,47.5,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.34,NP,1,1,1,1239,"1145, 1339",570pm21,2.16E14 pm 2.11E13,62.9pm 1.8,done,"center is 1242, original name = TGS393Z082"
HE0241-3043,1221,NGC1097,7,"('40.9070833333', '-30.5133333333')","(41.57937, -30.27489)",1.1169255684576236,1.5543698601318103,304.0664893401213,503.62301079279524,219.2796518,x,1029.8,1271,50,20.038,x,63.3,34.8,56.649242425194174,58.4896296679951,145.0,77.4,NGC1097,.SBS3..,47.5,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.6693,SP,1,1,1,1221,"1175, 1243",83pm12,1.90E13 pm 3.06E12,23.6pm 2.5,Lya,center is 1209
HE0241-3043,1310,NGC1097,7,"('40.9070833333', '-30.5133333333')","(41.57937, -30.27489)",1.144599601281531,1.592882437643292,304.0664893401213,503.62301079279524,219.2796518,x,1029.8,1271,-39,20.038,x,63.3,34.8,56.649242425194174,58.4896296679951,145.0,77.4,NGC1097,.SBS3..,47.5,130,(R'_1:)SB(r'l)bSy1,(R'_1:)SB(r'l)bSy1,0.00424,0.6693,SP,1,1,1,1310,"1254, 1376",184pm15,5.07E13 pm 4.98E12,32.7pm 3.1,Lya,center is 1315
TON1009,1961,NGC2770,4,"('137.275416667', '32.6086111111')","(137.39045, 33.12353)",0.1649863924878903,0.18842255943795208,204.4092282765912,212.4100185961105,274.0145373,x,2143.1,1947,-14,29.967,x,35.6,7.3,78.16721222182686,87.35265562011317,150.0,40.7,NGC2770,.SAS5*.,72.4,148,SA(s)c:,SA(s)c:,0.006494,0.809,RT,1,1,1,1961,"1854, 2048",350pm21,1.05E14 pm 8.11E12,55.0pm3.5,Lya,"Lya labeled at 1961 _ I measure 1951, looks blended"
RX_J1017.5+4702,629,NGC3198,5,"('154.37875', '47.0402777778')","(154.97897, 45.54962)",0.019565549856179962,0.014085314155623878,191.1391896316383,183.57087731990603,377.7156519,x,884.9,663,34,13.987,x,32.3,11.3,69.52215277404649,72.96484286730293,40.0,55.3,NGC3198,.SBT5..,67.1,35,SB(rs)c,SB(rs)c,0.002212,0.3354,SP,1,1,1,629,"584, 662",60pm17,1.24E13 pm 3.81E12,27.9pm 2.9,Lya,center is 623
RX_J1117.6+5301,1131,NGC3631,8,"('169.41875', '53.0305555556')","(170.26198, 53.16957)",0.322842762669714,0.2777465288031909,187.4482788872704,175.95210712009106,197.9301941,x,1377.8,1156,25,21.6,x,31.4,30.2,15.891186572342932,16.227827176299915,28.0,46.7,NGC3631,.SAS5..,17.3,-99,SA(s)c,SA(s)c,0.003856,0.1587,SI,1,1,1,1131,"1050, 1216",356pm20,1.19E14 pm 1.14E13,44.6pm 2.4,Lya,center is 1133
