R (arcmin),vel
0.167,25.21
0.332,46.124
0.5,60.423
0.666,69.712
0.833,77.254
0.997,82.588
1.167,84.051
1.246,84.612
1.333,85.415
1.423,86.597
1.501,87.499
1.6,89.016
1.778,88.229
