Name,Target,z,z_target,b,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,azimuth,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC1566,HE0348-5353,0.005017,0.13000,577.7076895639448,65.00175,-54.93781,57.36875,-53.74666666666667,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,65.2,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0348-5353,0.005017,0.13000,577.7076895639448,65.00175,-54.93781,57.36875,-53.74666666666667,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,65.2,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0354-5500,0.005017,0.2690,447.03334958244136,65.00175,-54.93781,58.805416666666666,-54.865833333333335,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,78.8,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,PKS0355-483,0.005017,1.01600,952.6576451626593,65.00175,-54.93781,59.34125,-48.204166666666666,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,19.3,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,PKS0355-483,0.005017,1.01600,952.6576451626593,65.00175,-54.93781,59.34125,-48.204166666666666,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,19.3,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,PKS0355-483,0.005017,1.01600,952.6576451626593,65.00175,-54.93781,59.34125,-48.204166666666666,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,19.3,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0409-5004,0.005017,0.8170,649.1512708142402,65.00175,-54.93781,62.75375,-49.94888888888889,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,6.2,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,1H0419-577,0.005017,0.10400,302.7758700015529,65.00175,-54.93781,66.50291666666666,-57.20055555555555,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,9.8,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,1H0419-577,0.005017,0.10400,302.7758700015529,65.00175,-54.93781,66.50291666666666,-57.20055555555555,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,9.8,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0429-5343,0.005017,0.04001,256.2063291487744,65.00175,-54.93781,67.66666666666667,-53.61555555555555,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,60.1,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
