Name,Target,z,z_target,b,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,inc,e_inc,PA,azimuth,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC6140,MRK876,0.003035,0.129,113.09,245.24233,65.39056,243.4883333,65.71972222,910,1035,8.13,6.716,4.836,4.1,3,64.67,44,4,60,54.5,.SBS6P.,378.57,0.72,95,113004,1,9.1,SB(s)cd_pec,0,TF,11.8,-99.99,0.2,0.56,-99.99,-99.99
NGC6140,HS1626+6433,0.003035,2.32,159.531,245.24233,65.39056,246.69,64.44861111,910,1035,8.13,6.716,4.836,4.1,3,64.67,44,4,60,86.5,.SBS6P.,378.57,0.72,95,113004,1,9.1,SB(s)cd_pec,0,TF,11.8,-99.99,0.2,0.56,-99.99,-99.99
