Name,Target,z,z_target,b,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,azimuth,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC5786,QSO1502-4154,0.01,1.02600,388.897079345449,224.73442,-42.01336,225.73000000000002,-41.90833333333333,2998,3124,29.8,30.11,13.85,3.6,1.7,182.1,65,2,80,1.9,PSBS4..,140.65,0.49,63,101354,3,31.8,(R'_2)SAB(s)bc,0,TF,9.56,-99.99,25.0,14.0,-99.99,-99.99
NGC5786,QSO1502-4154,0.01,1.02600,388.897079345449,224.73442,-42.01336,225.73000000000002,-41.90833333333333,2998,3124,29.8,30.11,13.85,3.6,1.7,182.1,65,2,80,1.9,PSBS4..,140.65,0.49,63,101354,3,31.8,(R'_2)SAB(s)bc,0,TF,9.56,-99.99,25.0,14.0,-99.99,-99.99
NGC5786,QSO1500-4140,0.01,0.33500,453.4142438323106,224.73442,-42.01336,225.89125,-41.873333333333335,2998,3124,29.8,30.11,13.85,3.6,1.7,182.1,65,2,80,0.8,PSBS4..,140.65,0.49,63,101354,3,31.8,(R'_2)SAB(s)bc,0,TF,9.56,-99.99,25.0,14.0,-99.99,-99.99
NGC5786,QSO1500-4140,0.01,0.33500,453.4142438323106,224.73442,-42.01336,225.89125,-41.873333333333335,2998,3124,29.8,30.11,13.85,3.6,1.7,182.1,65,2,80,0.8,PSBS4..,140.65,0.49,63,101354,3,31.8,(R'_2)SAB(s)bc,0,TF,9.56,-99.99,25.0,14.0,-99.99,-99.99
NGC5786,QSO1500-4140,0.01,0.33500,453.59752065650275,224.73442,-42.01336,225.89166666666668,-41.87305555555555,2998,3124,29.8,30.11,13.85,3.6,1.7,182.1,65,2,80,0.8,PSBS4..,140.65,0.49,63,101354,3,31.8,(R'_2)SAB(s)bc,0,TF,9.56,-99.99,25.0,14.0,-99.99,-99.99
