AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
PG1302-102,NGC4920,x,"('196.3875', '-10.55556')","(195.51728, -11.37841)",468.29785079488005,x,1606.1,22.62073013,x,1.7,1.7,0.0,90.0,x,x,NGC4920,.IBS9..,49.8,-99,IB(s)m,0.004456
PG1302-102,MCG-02-34-006,x,"('196.3875', '-10.55556')","(197.44792, -10.32)",404.9237794188753,x,1480.7,21.700001,x,18.9,15.8,33.6,x,x,x,0,x,x,x,SAB(s)d:       Sy2,0.004037
PG1302-102,6dFJ1310385-095554,x,"('196.3875', '-10.55556')","(197.661, -9.93156)",494.269070161888,x,1436.3,20.22890577,x,x,x,x,x,x,x,0,x,x,x,x,0.003886
