R (kpc),vel,err
9.9525,127.633,25.15
9.1234,137.893,27.14
8.2768,137.893,27.14
7.4501,133.379,26.27
6.6234,141.587,27.86
5.8067,147.332,28.97
5.5104,146.512,28.81
5.234,145.28,28.57
4.9377,145.486,28.61
4.6488,146.101,28.73
4.3625,147.127,28.93
4.0761,150.616,29.61
3.7898,154.514,30.36
3.5034,156.156,30.68
3.2046,152.668,30.0
2.9208,150.821,29.65
2.622,146.306,28.77
2.3257,137.893,27.14
2.0393,136.457,26.86
1.743,136.047,26.78
1.4591,123.324,24.32
1.1628,109.371,21.63
0.8665,105.882,20.96
0.5827,90.082,17.92
0.2913,47.811,9.94
-0.2913,-47.811,9.94
-0.5827,-90.082,17.92
-0.8665,-105.882,20.96
-1.1628,-109.371,21.63
-1.4591,-123.324,24.32
-1.743,-136.047,26.78
-2.0393,-136.457,26.86
-2.3257,-137.893,27.14
-2.622,-146.306,28.77
-2.9208,-150.821,29.65
-3.2046,-152.668,30.0
-3.5034,-156.156,30.68
-3.7898,-154.514,30.36
-4.0761,-150.616,29.61
-4.3625,-147.127,28.93
-4.6488,-146.101,28.73
-4.9377,-145.486,28.61
-5.234,-145.28,28.57
-5.5104,-146.512,28.81
-5.8067,-147.332,28.97
-6.6234,-141.587,27.86
-7.4501,-133.379,26.27
-8.2768,-137.893,27.14
-9.1234,-137.893,27.14
-9.9525,-127.633,25.15
