AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
3C273.0,1013,SDSSJ122815.96+014944.1,8,"('187.27792', '2.05222')","(187.0665, 1.82892)",0.003414189369464633,3.5400599397464947e-84,41.24838512685209,6.547900426854397,90.56332768928978,x,1198.4,185.4000000000001,16.87858892,x,3.5,1.8,59.3,40.0,3.4,0,x,x,x,x,x,0.003015
3C273.0,1013,CGCG014-054,8,"('187.27792', '2.05222')","(187.7659, 1.6757)",3.3025690896719923e-06,4.5361910622341627e-45,71.06873748016558,21.366632865287876,211.92369673574294,x,1399.2,386.20000000000005,19.70682874,x,7.7,4.4,55.2,80.0,47.7,MCG0-32-16,.IXS9P*,54.9,80.0,IAB(s)m pec:,IAB(s)m pec:,0.003686
3C273.0,1013,NGC4457,8,"('187.27792', '2.05222')","(187.24588, 3.57058)",1.625381146624241e-08,4.189522184800725e-30,111.03220407372962,56.36065116728159,461.2090303562866,x,1178.0,165.0,17.4,x,14.7,10.0,47.2,75.0,76.2,NGC4457,RSXS0..,31.7,-99,(R)SAB(s)0/a   LINER,(R)SAB(s)0/a   LINER,0.002942
3C273.0,1013,NGC4600,8,"('187.27792', '2.05222')","(190.09566, 3.11775)",1.0775654250181801e-33,0.0,44.44619413241409,7.701882886671284,386.0965789038743,x,1147.1,134.0999999999999,7.3499999,x,3.9,2.2,55.9,65.0,4.3,NGC4600,.L.....,48.6,60.0,"S0(6),N","S0(6),N",0.002842
3C273.0,1013,VCC1465,8,"('187.27792', '2.05222')","(188.23154, 3.36042)",1.2847608657497138e-37,0.0,44.44619413241409,7.701882886671284,409.624438413251,x,1029.7,16.700000000000045,14.50322845,x,3.9,3.6,24.5,x,x,VCC1465,.I?....,24.2,-99,I?,I?,0.002448
3C273.0,1013,VCC1457,8,"('187.27792', '2.05222')","(188.21062, 2.7973)",3.598359591879986e-38,0.0,42.860693087198044,7.117092102818398,391.90309229687824,x,1336.2,323.20000000000005,18.82010179,x,3.7,2.2,53.1,2.0,49.4,0,x,x,x,"dE4pec?,N","dE4pec?,N",0.003472
3C273.0,1013,VCC1492,8,"('187.27792', '2.05222')","(188.32596, 2.04644)",1.444257658844556e-43,0.0,25.061655495164096,2.2165288177689004,248.84281399904634,x,966.5,-46.5,13.61260154,x,1.7,1.2,46.4,153.0,62.7,0,x,x,x,dE2?,dE2?,0.002241
3C273.0,1013,FGC1475,8,"('187.27792', '2.05222')","(189.22896, 1.61507)",5.759383712774898e-44,0.0,43.6566776107277,7.407563702054812,434.713268155789,x,884.9,-128.10000000000002,12.46337267,x,3.8,0.9,76.1,3.0,80.4,0,x,x,x,Irr(f),Irr(f),0.001971
