R (arcmin),vel
-3.02,587.479
-2.807,586.802
-2.609,588.426
-2.41,589.281
-2.127,593.25
-1.716,597.274
-1.447,601.237
-1.05,612.947
-0.654,628.503
-0.4,640.92
-0.159,652.563
0.334,688.93
0.547,699.022
0.744,709.108
0.985,722.289
1.211,734.694
1.536,742.527
1.876,746.521
2.203,749.739
2.572,746.821
2.742,746.895
