R (kpc),vel,err
-16.2519,-82.53357026251126,3.0
-15.1057,-83.210673388597,3.0
-14.0402,-81.58642600785367,3.0
-12.9693,-80.73129576737624,3.0
-11.4463,-76.76169117736991,3.0
-9.2345,-72.73707820932123,3.0
-7.7869,-68.77347453328325,3.0
-5.6505,-57.06169077188906,3.0
-3.5195,-41.50332115683799,3.0
-2.1526,-29.084429699516875,3.0
-0.8556,-17.43965614410163,3.0
1.7974,18.932883569871123,3.0
2.9436,29.026420864490337,3.0
4.0038,39.11395724514109,3.0
5.3007,52.296965081087876,3.0
6.5169,64.70385471047253,3.0
8.2659,72.53804789604054,3.0
10.0956,76.53265629424781,3.0
11.8553,79.75114648589319,3.0
13.841,76.83270199266106,3.0
14.7559,76.90671326493626,3.0
