AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
TON1009,IC2439,x,"('137.27542', '32.60861')","(137.16024, 32.59295)",0.14856041362168185,113.92047664928373,108.59929621561334,x,4494.8,-199.80000000000018,63.30638611,x,23.5,7.5,71.3,30.0,69.2,69.2,MCG6-20-32,.L?....,-99,-99,S0?,0.01434
TON1009,CGCG180-046,x,"('137.27542', '32.60861')","(137.38951, 32.50636)",5.056018399740406e-08,37.98548406957585,153.21913606093406,x,4440.6,-145.60000000000036,62.54327153,x,11.3,7.0,51.7,85.0,41.8,41.8,0,x,x,x,x,0.014156
TON1009,KUG0906+333ANED01,x,"('137.27542', '32.60861')","(137.33077, 33.12324)",2.950944644251032e-53,45.7946721791957,495.49753684521926,x,3900.9,394.0999999999999,54.94195498,x,12.8,5.6,64.1,x,x,x,0,x,x,x,x,0.012359
TON1009,KUG0906+331,x,"('137.27542', '32.60861')","(137.48297, 32.9738)",1.370756585876586e-100,26.55125232451381,401.09737024839217,x,4031.5,263.5,56.78164689,x,8.9,3.9,63.9,168.0,13.6,13.6,0,x,x,x,Spiral,0.012792
