R (kpc),vel,err
12.77,-91.67,2.8
9.98,-91.46,3.03
7.183,-82.48,4.36
4.389,-67.5,4.82
3.19,-60.7,0.76
1.995,-37.7,1.49
0.798,-13.07,1.79
-0.798,13.07,1.79
-1.995,37.7,1.49
-3.19,60.7,0.76
-4.389,67.5,4.82
-7.183,82.48,4.36
-9.98,91.46,3.03
-12.77,91.67,2.8
