R (kpc),vel,err
12.77,-91.67,10.61
9.98,-91.46,10.67
7.183,-82.48,10.97
4.389,-67.5,10.94
3.19,-60.7,9.76
1.995,-37.7,9.59
0.798,-13.07,9.51
-0.798,13.07,9.51
-1.995,37.7,9.59
-3.19,60.7,9.76
-4.389,67.5,10.94
-7.183,82.48,10.97
-9.98,91.46,10.67
-12.77,91.67,10.61
