R (kpc),vel,err
12.77,-91.67,13.99
9.98,-91.46,14.03
7.183,-82.48,13.82
4.389,-67.5,13.14
3.19,-60.7,11.89
1.995,-37.7,10.97
0.798,-13.07,10.43
-0.798,13.07,10.43
-1.995,37.7,10.97
-3.19,60.7,11.89
-4.389,67.5,13.14
-7.183,82.48,13.82
-9.98,91.46,14.03
-12.77,91.67,13.99
