R (arcmin),vel
2.181,1907.75
1.882,1907.467
1.652,1907.249
1.353,1907.913
1.078,1903.867
0.722,1895.959
0.391,1869.148
0.188,1836.778
0.053,1803.528
-0.091,1741.878
-0.306,1716.121
-0.465,1694.204
-0.567,1678.02
-0.841,1659.779
-1.162,1651.904
-1.392,1651.687
-1.599,1650.545
-1.818,1653.177
-2.048,1652.959
