R (kpc),vel,err
17.193,132.89825293131966,5.23
14.8359,132.60384819097092,5.22
13.0228,132.377062913953,5.21
10.6658,133.06782173936512,5.23
8.498,128.85877022186904,5.13
5.6916,120.63208228307558,4.92
3.0823,92.74061410819,4.28
1.482,59.066121369350064,3.63
0.4178,24.476165126951795,3.22
-0.7174,-39.65829509391607,3.36
-2.4122,-66.45328766340317,3.76
-3.6656,-89.25353039918207,4.2
-4.4697,-106.0897364691662,4.58
-6.6297,-125.06583847871767,5.03
-9.1601,-133.25819653612777,5.24
-10.9732,-133.48394151370985,5.24
-12.605,-134.6719634694636,5.27
-14.3314,-131.93389535427605,5.2
-16.1445,-132.16068063129373,5.21
