R (arcmin),vel
-2.048,1652.959
-1.818,1653.177
-1.599,1650.545
-1.392,1651.687
-1.162,1651.904
-0.841,1659.779
-0.567,1678.02
-0.465,1694.204
-0.306,1716.121
-0.091,1741.878
0.053,1803.528
0.188,1836.778
0.391,1869.148
0.722,1895.959
1.078,1903.867
1.353,1907.913
1.652,1907.249
1.882,1907.467
2.181,1907.75
