AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,galaxyRedshift
PG0003+158,NGC7814,x,"('1.49708', '16.16361')","(0.81204, 16.14542)",50.39651903433159,171.0564909768426,197.26891769932288,x,789.3,43.700000000000045,17.171,x,27.5,11.5,65.3,x,43.4,43.4,NGC7814,.SAS2*/,65.4,135.0,SA(s)ab: sp    LINER,0.003502
PG0003+158,UGC12893,x,"('1.49708', '16.16361')","(0.11867, 17.22022)",62.60999008470509,36.228855835915674,348.9674314872139,x,839.5,-6.5,11.82369694,x,2.9,0.8,73.1,5.0,46.4,46.4,0,x,x,x,SAdm,0.003659
PG0003+158,IC5377,x,"('1.49708', '16.16361')","(0.5225, 16.59028)",187.2559932889667,45.22945909746485,199.7520587079829,x,790.6,42.39999999999998,11.13556878,x,4.0,2.2,55.9,x,x,x,0,x,x,x,Im:,0.003502
PG0003+158,UGC00031,x,"('1.49708', '16.16361')","(1.2175, 17.1925)",252.0985176867576,46.00667649591621,202.76599559990663,x,775.8,57.200000000000045,10.92731313,x,4.1,3.4,33.9,55.0,40.4,40.4,0,x,x,x,IAm,0.003449
PG0003+158,NGC0014,x,"('1.49708', '16.16361')","(2.19333, 15.81556)",443.4572212689172,87.448628802591,168.53422830323336,x,602.9,230.10000000000002,12.8,x,10.4,7.8,41.4,x,37.5,37.5,NGC14,RIBS9P.,42.2,25.0,(R)IB(s)m pec,0.002885
PG0003+158,UGC00017,x,"('1.49708', '16.16361')","(0.93042, 15.21833)",721.2717539644929,74.84518802278988,247.63174330733904,x,615.0,218.0,13.0,x,8.3,5.9,44.8,x,x,x,UGC17,.S..9*.,44.9,-99,Sm:,0.002929
PG0003+158,UGC00047,x,"('1.49708', '16.16361')","(1.65983, 17.28428)",904.2647732107943,41.24838512685209,171.01999826705367,x,614.9,218.10000000000002,8.660272417,x,3.5,0.5,81.4,64.0,71.9,71.9,0,x,x,x,Sdm,0.002912
PG0003+158,UGC00090,x,"('1.49708', '16.16361')","(2.50708, 16.94083)",941.4197501308822,38.77514986628247,197.95928361389997,x,648.6,184.39999999999998,9.135804528,x,3.2,0.9,73.7,88.0,40.7,40.7,0,x,x,x,Im:,0.003029
PG0003+158,KUG0007+154,x,"('1.49708', '16.16361')","(2.47116, 15.73466)",1386.8627335598023,22.988094234022373,160.69219359237198,x,634.6,198.39999999999998,8.937638066,x,1.5,1.2,41.4,118.0,52.6,52.6,0,x,x,x,Spiral,0.002991
PG0003+158,UGC00122,x,"('1.49708', '16.16361')","(3.32208, 17.03)",1464.3863528882114,70.4305984594212,432.6241913159644,x,594.6,238.39999999999998,12.7,x,7.6,1.1,81.4,109.0,7.3,7.3,0,x,x,x,Sdm,0.002849
PG0003+158,SDSSJ000952.87+154406.9,x,"('1.49708', '16.16361')","(2.47033, 15.73526)",2660.8154017966053,12.215868886348156,159.02236829316595,x,628.6,204.39999999999998,8.853156536,x,0.6,0.5,16.3,143.0,77.6,77.6,0,x,x,x,HII,0.002973
PG0003+158,SDSSJ001108.62+141422.7,x,"('1.49708', '16.16361')","(2.78594, 14.23965)",4343.6204481599725,20.826721668546934,298.3620518061901,x,529.8,303.20000000000005,7.461969424,x,1.3,0.7,58.0,119.0,86.2,86.2,0,x,x,x,x,0.002655
