R (kpc),vel,err
2.8307,89.024,5.59
3.2284,96.78,5.86
3.6646,106.367,6.21
4.0879,115.424,6.55
4.6053,124.856,6.91
5.0971,133.267,7.24
5.6786,143.471,7.65
6.4654,154.597,8.11
7.3805,163.215,8.46
8.3682,162.467,8.43
9.356,161.431,8.39
10.3609,158.961,8.29
11.3273,155.305,8.14
12.3108,150.549,7.94
13.2985,147.166,7.8
14.282,149.075,7.88
15.2698,151.486,7.98
16.2533,153.565,8.06
17.2411,155.725,8.15
18.2246,158.13,8.25
19.2123,160.249,8.34
20.2001,162.776,8.44
21.1836,165.221,8.55
22.1714,167.585,8.65
23.1549,168.828,8.7
24.1426,169.175,8.71
25.1261,168.482,8.68
25.9044,167.997,8.66
26.6099,167.394,8.64
