R (arcmin),vel
0.662,89.024
0.755,96.78
0.857,106.367
0.956,115.424
1.077,124.856
1.192,133.267
1.328,143.471
1.512,154.597
1.726,163.215
1.957,162.467
2.188,161.431
2.423,158.961
2.649,155.305
2.879,150.549
3.11,147.166
3.34,149.075
3.571,151.486
3.801,153.565
4.032,155.725
4.262,158.13
4.493,160.249
4.724,162.776
4.954,165.221
5.185,167.585
5.415,168.828
5.646,169.175
5.876,168.482
6.058,167.997
6.223,167.394
