R (kpc),vel,err
-8.7074,131.38300000000004,6.0
-6.7943,128.77700000000004,6.0
-5.2856,120.72799999999995,6.0
-3.8491,109.96299999999997,6.0
-2.9583,87.42200000000003,6.0
-2.0643,65.78399999999999,6.0
-1.3115,44.13900000000001,6.0
1.9821,-23.451000000000022,6.0
3.0767,-42.36699999999996,6.0
4.1055,-61.285999999999945,6.0
5.0325,-81.56600000000003,6.0
6.1961,-97.76800000000003,6.0
7.3958,-104.47899999999998,6.0
9.8578,-108.86099999999999,6.0
11.5671,-111.47800000000001,6.0
13.2796,-116.80599999999998,6.0
14.7851,-119.43400000000003,6.0
16.2906,-121.15800000000002,6.0
