R (arcmin),vel
-2.649,747.383
-2.067,744.777
-1.608,736.728
-1.171,725.963
-0.9,703.422
-0.628,681.784
-0.399,660.139
0.603,592.549
0.936,573.633
1.249,554.714
1.531,534.434
1.885,518.232
2.25,511.521
2.999,507.139
3.519,504.522
4.04,499.194
4.498,496.566
4.956,494.842
