target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z_target,RAdeg_target,DEdeg_target,type,glon,glat,z,program PI,program #,obsid,"SN(N=1238,C=1548,O=1031)",calver,nightonly,IGMPARS,FPN
ESO141-G55,Lya,"2102, 2196",1,2140,50,4,1.00E+13,8.32E+11,33,2.2,55,3.6,v_AGN=10793,0.036,,,Sey,338.18,-26.71,0.036,Jenkins,12936,LC1202,"SN=N:37.3,C:26.2,O:16.3",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
ESO141-G55,Lya,"5237, 5325",1,5283,26,3,5.03E+12,5.73E+11,35.4,2.2,59,3.6,v_AGN=10793,0.036,,,Sey,338.18,-26.71,0.036,Jenkins,12936,LC1202,"SN=N:37.3,C:26.2,O:16.3",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
ESO141-G55,INTRINSIC,,,8067,,,,,,,,,v_AGN=10793,0.036,,,Sey,338.18,-26.71,0.036,Jenkins,12936,LC1202,"SN=N:37.3,C:26.2,O:16.3",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
TON_S210,Lya,"5883, 5945",1,5924,35,3,6.91E+12,6.27E+11,22.9,2.6,38.1,4.3,blended with MgII,0.116,,,QSO,224.97,-83.16,0.116,Thom,12204,LBH001,"SN=N:36.5,C:25.1,O:20.6",v3.1.1,nightonly=TODO,IGMPARS=yes,FPN=yes
PG1630+377,no,,,,,,,,,,,,,1.4789,,,QSO,60.34,42.94,1.47895,Tripp,11741,"LB1O28,30-31","SN=N:36.5,C:23.6",v3.1.1,nightonly=TODO,IGMPARS=no,FPN=no
ESO462-G09,INTRINSIC,,,,,,,,,,,,"v_AGN=5779, all INTRINSIC",0.0193,,,Sey,11.33,-31.95,0.01928,Fox,13448,LC8Y07,"SN=N:36.5,C:10.4",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
3C263,Lya,"2137, 2221",3,2175,52,4,1.05E+13,8.13E+11,29.3,2.2,48.8,3.6,,0.646,,,QSO,134.16,49.74,0.646,Green,11541,LB6810-11,"SN=N:35.7,C:29.0,O:14.2",v3.1.7,nightonly=TODO,IGMPARS=yes,FPN=yes
3C263,Lya,"3894, 3936",1,3910,12,3,2.20E+12,5.35E+11,17.1,1.9,28.4,3.1,extremely weak,0.646,,,QSO,134.16,49.74,0.646,Green,11541,LB6810-11,"SN=N:35.7,C:29.0,O:14.2",v3.1.7,nightonly=TODO,IGMPARS=yes,FPN=yes
3C263,Lya,"8916, 8984",1,8954,42,3,8.42E+12,6.52E+11,23.6,2.1,39.2,3.6,,0.646,,,QSO,134.16,49.74,0.646,Green,11541,LB6810-11,"SN=N:35.7,C:29.0,O:14.2",v3.1.7,nightonly=TODO,IGMPARS=yes,FPN=yes
3C263,Lya,"9633, 9671",1,9651,13,2,2.53E+12,4.66E+11,14.8,1.9,24.6,3.2,"very weak, blended with Lya@9764",0.646,,,QSO,134.16,49.74,0.646,Green,11541,LB6810-11,"SN=N:35.7,C:29.0,O:14.2",v3.1.7,nightonly=TODO,IGMPARS=yes,FPN=yes
3C263,Lya,"9671, 9829",1,9764,134,5,2.95E+13,1.08E+12,44.6,3,74.2,5.1,blended with Lya@9651,0.646,,,QSO,134.16,49.74,0.646,Green,11541,LB6810-11,"SN=N:35.7,C:29.0,O:14.2",v3.1.7,nightonly=TODO,IGMPARS=yes,FPN=yes
MRK290,Lya,"680, 790",3,742,136,10,3.05E+13,2.58E+12,39.4,1.6,65.7,2.6,,0.0296,,,Sey,91.49,47.95,0.02958,Green,11524,LB4Q02,"SN=N:35.6,C:20.7,O:19.2",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
MRK290,Lya,"2926, 3152",1,3082,520,6,2.03E+14,3.79E+12,60.1,2.8,100,4.6,blended with Lya@3192,0.0296,,,Sey,91.49,47.95,0.02958,Green,11524,LB4Q02,"SN=N:35.6,C:20.7,O:19.2",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
MRK290,Lya,"3152, 3302",1,3192,319,5,1.11E+14,2.44E+12,40.4,3.6,67.3,6,blended with Lya@3082,0.0296,,,Sey,91.49,47.95,0.02958,Green,11524,LB4Q02,"SN=N:35.6,C:20.7,O:19.2",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
MRK290,INTRINSIC,"8294, 8640",1,8584,578,5,2.09E+14,1.91E+12,84.8,4.1,141.2,6.8,"blended with Lya@8638, v_AGN=8867",0.0296,,,Sey,91.49,47.95,0.02958,Green,11524,LB4Q02,"SN=N:35.6,C:20.7,O:19.2",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
MRK290,INTRINSIC,"8640, 8898",10,8638,506,3,1.56E+14,1.18E+12,81.9,3,136.4,5,"blended with Lya@8584, v_AGN=8867",0.0296,,,Sey,91.49,47.95,0.02958,Green,11524,LB4Q02,"SN=N:35.6,C:20.7,O:19.2",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
MRK290,INTRINSIC,"9504, 9540",1,9525,9,1,1.69E+12,2.72E+11,15,3.6,24.9,6,"intrinsic, v_AGN=8867",0.0296,,,Sey,91.49,47.95,0.02958,Green,11524,LB4Q02,"SN=N:35.6,C:20.7,O:19.2",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
IRAS_F21325-6237,Lya,"8288, 8388",1,8329,71,3,1.47E+13,7.71E+11,33.8,1.8,56.3,3.1,blended with Lya@8419,0.0588,,,Sey,331.14,-42.52,0.0588,Jenkins,12936,LC1203,"SN=N:34.2,C:26.1,O:6.6",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
IRAS_F21325-6237,Lya,"8389, 8455",1,8419,27,3,5.29E+12,5.91E+11,23.9,2.3,39.8,3.8,"weak, blended with Lya@8329",0.0588,,,Sey,331.14,-42.52,0.0588,Jenkins,12936,LC1203,"SN=N:34.2,C:26.1,O:6.6",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
TOL1247-232,no,,,,,,,,,,,,,,,,Gal:HII,302.6,39.3,0.048,Oestlin,13027,LBZ911-12,SN=O:5.5,v3.3.4,nightonly=TODO,IGMPARS=no,FPN=no
PG1553+113,Lya,"2075, 2187",2,2128,95,5,2.06E+13,1.16E+12,32.5,2.4,54.1,4,,0.467,,,BLLac,21.91,43.96,0.46699,Green,"1,152,012,025","LB4R02,LBG803","SN=N:33.0,C:38.6,O:12.5",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
PG1553+113,Lya,"2359, 2395",1,2371,17,3,3.31E+12,5.84E+11,14.4,2.8,24,4.7,blended with OVI,0.467,,,BLLac,21.91,43.96,0.46699,Green,"1,152,012,025","LB4R02,LBG803","SN=N:33.0,C:38.6,O:12.5",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
PG1553+113,Lya,"2517, 2593",8,2537,48,4,9.79E+12,8.60E+11,28.9,3.2,48.1,5.3,blended with OVI,0.467,,,BLLac,21.91,43.96,0.46699,Green,"1,152,012,025","LB4R02,LBG803","SN=N:33.0,C:38.6,O:12.5",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
PG1553+113,Lya,"2963, 3063",1,3001,48,5,9.59E+12,9.45E+11,31.8,2.8,52.9,4.7,,0.467,,,BLLac,21.91,43.96,0.46699,Green,"1,152,012,025","LB4R02,LBG803","SN=N:33.0,C:38.6,O:12.5",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
PG1553+113,Lya,"4638, 4738",1,4695,28,4,5.40E+12,8.78E+11,38.1,1.9,63.4,3.2,weak,0.467,,,BLLac,21.91,43.96,0.46699,Green,"1,152,012,025","LB4R02,LBG803","SN=N:33.0,C:38.6,O:12.5",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
PG1553+113,Lya,"5144, 5240",1,5193,35,4,6.79E+12,8.70E+11,35.3,2.3,58.7,3.9,weak,0.467,,,BLLac,21.91,43.96,0.46699,Green,"1,152,012,025","LB4R02,LBG803","SN=N:33.0,C:38.6,O:12.5",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
PG1553+113,Lya,"7101, 7169",1,7128,48,3,1.01E+13,7.40E+11,20.6,2.6,34.3,4.4,,0.467,,,BLLac,21.91,43.96,0.46699,Green,"1,152,012,025","LB4R02,LBG803","SN=N:33.0,C:38.6,O:12.5",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
PG1553+113,Lya,"9691, 9781",1,9741,29,4,5.71E+12,8.09E+11,31.6,2.2,52.7,3.7,weak,0.467,,,BLLac,21.91,43.96,0.46699,Green,"1,152,012,025","LB4R02,LBG803","SN=N:33.0,C:38.6,O:12.5",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
PG1148+549,no,,,,,,,,,,,,Lots of unidentified lines,0.969,,,QSO,140.61,60.39,0.969,Tripp,11741,LB1O22-24,"SN=N:32.1,C:19.7",v3.1.1,nightonly=TODO,IGMPARS=prt,FPN=no
PG1148+549,Lya,"1918, 2016",1,1988,192,4,5.39E+13,1.48E+12,30,4.1,50,6.9,Blended with unidentified line,0.969,,,QSO,140.61,60.39,0.969,Tripp,11741,LB1O22-24,"SN=N:32.1,C:19.7",v3.1.1,nightonly=TODO,IGMPARS=prt,FPN=no
PG1148+549,Lya,"2379, 2465",1,2426,65,4,1.38E+13,1.00E+12,25.8,2.7,42.9,4.4,,0.969,,,QSO,140.61,60.39,0.969,Tripp,11741,LB1O22-24,"SN=N:32.1,C:19.7",v3.1.1,nightonly=TODO,IGMPARS=prt,FPN=no
PG0953+414,Lya,"596, 692",4,644,60,5,1.20E+13,1.16E+12,33.6,2.1,56,3.6,,0.2341,,,QSO,179.79,51.71,0.2341,Green,12038,LBGL02,"SN=N:32.1,C:27.5,O:24.3",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
PG0953+414,Lya,"2174, 2254",1,2204,27,4,5.23E+12,7.52E+11,28.6,3.9,47.5,6.6,blended with Lyb,0.2341,,,QSO,179.79,51.71,0.2341,Green,12038,LBGL02,"SN=N:32.1,C:27.5,O:24.3",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
PG0953+414,Lya,"4596, 4720",1,4680,72,4,1.43E+13,8.03E+11,43.1,3.1,71.7,5.1,blended with Lya@4804,0.2341,,,QSO,179.79,51.71,0.2341,Green,12038,LBGL02,"SN=N:32.1,C:27.5,O:24.3",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
PG0953+414,Lya,"4726, 4884",1,4804,171,4,3.79E+13,1.01E+12,50.9,2.4,84.8,4.1,"blended with Lya@4680, 4956",0.2341,,,QSO,179.79,51.71,0.2341,Green,12038,LBGL02,"SN=N:32.1,C:27.5,O:24.3",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
PG0953+414,Lya,"4891, 5021",1,4956,136,4,3.14E+13,9.30E+11,34.9,2.9,58.1,4.8,blended with Lya@4804,0.2341,,,QSO,179.79,51.71,0.2341,Green,12038,LBGL02,"SN=N:32.1,C:27.5,O:24.3",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
SDSSJ084602.46+570328.5,no,,,,,,,,,,,,,,,,QSO,160.16,37.93,0.7,Farihi,14597,XXX,SN=32,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
PG1011-040,Lya,"903, 975",1,944,120,7,3.05E+13,2.35E+12,23.3,2.5,38.7,4.1,,0.058,,,Sey,246.5,40.75,0.058,Green,11524,LB4Q04,"SN=N:31.9,C:18.7,O:17.4",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
PG1011-040,Lya,"1243, 1357",1,1301,62,9,1.24E+13,1.80E+12,40.3,2.6,67.2,4.3,weak,0.058,,,Sey,246.5,40.75,0.058,Green,11524,LB4Q04,"SN=N:31.9,C:18.7,O:17.4",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
PG1011-040,Lya,"3449, 3533",1,3496,52,5,1.06E+13,1.05E+12,25.9,2.8,43.1,4.7,,0.058,,,Sey,246.5,40.75,0.058,Green,11524,LB4Q04,"SN=N:31.9,C:18.7,O:17.4",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
PG1011-040,Lya,"5411, 5535",1,5471,134,5,3.13E+13,1.31E+12,33,2.7,54.9,4.5,blended?,0.058,,,Sey,246.5,40.75,0.058,Green,11524,LB4Q04,"SN=N:31.9,C:18.7,O:17.4",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
TON_S180,Lya,"1883, 1995",1,1932,70,10,1.40E+13,2.05E+12,42.9,3.2,71.4,5.4,"STIS only, weak",0.062,,,QSO,139,-85.07,0.06198,Stocke,7345,"O4EC02,O58P01","SN=N:31.8,O:14.5",vXXX,nightonly=NONE,IGMPARS=yes,FPN=STIS
TON_S180,Lya,"2749, 2877",5,2795,61,10,1.20E+13,2.04E+12,47,4,78.3,6.6,"STIS only, weak",0.062,,,QSO,139,-85.07,0.06198,Stocke,7345,"O4EC02,O58P01","SN=N:31.8,O:14.5",vXXX,nightonly=NONE,IGMPARS=yes,FPN=STIS
TON_S180,Lya,"2972, 3050",4,3003,45,8,8.94E+12,1.59E+12,29.6,2.5,49.2,4.1,"STIS only, weak",0.062,,,QSO,139,-85.07,0.06198,Stocke,7345,"O4EC02,O58P01","SN=N:31.8,O:14.5",vXXX,nightonly=NONE,IGMPARS=yes,FPN=STIS
TON_S180,Lya,"5431, 5623",5,5519,274,9,6.98E+13,2.66E+12,52.1,3.4,86.7,5.7,STIS only,0.062,,,QSO,139,-85.07,0.06198,Stocke,7345,"O4EC02,O58P01","SN=N:31.8,O:14.5",vXXX,nightonly=NONE,IGMPARS=yes,FPN=STIS
TON_S180,Lya,"6258, 6382",10,6306,59,8,1.17E+13,1.74E+12,38.3,7,63.8,11.7,STIS only,0.062,,,QSO,139,-85.07,0.06198,Stocke,7345,"O4EC02,O58P01","SN=N:31.8,O:14.5",vXXX,nightonly=NONE,IGMPARS=yes,FPN=STIS
TON_S180,Lya,"6921, 7209",1,7039,260,12,5.92E+13,2.82E+12,79.2,4.8,131.8,8,STIS only,0.062,,,QSO,139,-85.07,0.06198,Stocke,7345,"O4EC02,O58P01","SN=N:31.8,O:14.5",vXXX,nightonly=NONE,IGMPARS=yes,FPN=STIS
PKS0552-640,no,,,,,,,,,,,,,,,,QSO,273.47,-30.61,0.68,Howk,11692,LB3J06-07,"SN=N:25.1,C:23.3,O:-0.2",v3.0,nightonly=TODO,IGMPARS=no,FPN=no
RBS1795,Lya,"1785, 1895",1,1795,35,7,6.75E+12,1.39E+12,47.7,3.2,79.4,5.3,"very weak, broad",0.344,,,QSO,355.18,-50.86,0.344,Green,11541,LB6809,"SN=N:31.2,C:20.8,O:3.1",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
RBS1795,Lya,"3526, 3620",5,3588,42,6,8.19E+12,1.23E+12,41.6,3.5,69.2,5.7,"weak, broad",0.344,,,QSO,355.18,-50.86,0.344,Green,11541,LB6809,"SN=N:31.2,C:20.8,O:3.1",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
RBS1795,Lya,"8064, 8136",1,8103,52,5,1.07E+13,1.02E+12,25.1,1.7,41.7,2.8,,0.344,,,QSO,355.18,-50.86,0.344,Green,11541,LB6809,"SN=N:31.2,C:20.8,O:3.1",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
RBS1795,Lya,"8988, 9112",1,9038,102,6,2.22E+13,1.36E+12,35.5,2.5,59.1,4.1,,0.344,,,QSO,355.18,-50.86,0.344,Green,11541,LB6809,"SN=N:31.2,C:20.8,O:3.1",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
RBS1795,Lya,"9502, 9538",1,9517,18,3,3.63E+12,6.72E+11,13.7,2.4,22.1,3.8,,0.344,,,QSO,355.18,-50.86,0.344,Green,11541,LB6809,"SN=N:31.2,C:20.8,O:3.1",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
HE0003-5023,no,,,,,,,,,,,,,,,,Sey,320.71,-65.41,0.03545,Jenkins,12936,LC1204-05,"SN=N:30.6,C:18.2",v3.0,nightonly=TODO,IGMPARS=no,FPN=no
FBQSJ0751+2919,Lya,,,3525,,,,,,,,,,0.9224,,,QSO,191.34,25.05,0.9224,Tripp,11741,LB1O19-21,"SN=N:27.5,C:31.4",v3.1.1,nightonly=TODO,IGMPARS=yes,FPN=esys_ID
FBQSJ0751+2919,Lya,,,3560,,,,,,,,,,0.9224,,,QSO,191.34,25.05,0.9224,Tripp,11741,LB1O19-21,"SN=N:27.5,C:31.4",v3.1.1,nightonly=TODO,IGMPARS=yes,FPN=esys_ID
FBQSJ0751+2919,Lya,,,3635,,,,,,,,,,0.9224,,,QSO,191.34,25.05,0.9224,Tripp,11741,LB1O19-21,"SN=N:27.5,C:31.4",v3.1.1,nightonly=TODO,IGMPARS=yes,FPN=esys_ID
FBQSJ0751+2919,Lya,,,3677,,,,,,,,,,0.9224,,,QSO,191.34,25.05,0.9224,Tripp,11741,LB1O19-21,"SN=N:27.5,C:31.4",v3.1.1,nightonly=TODO,IGMPARS=yes,FPN=esys_ID
FBQSJ0751+2919,Lya,,,6297,,,,,,,,,,0.9224,,,QSO,191.34,25.05,0.9224,Tripp,11741,LB1O19-21,"SN=N:27.5,C:31.4",v3.1.1,nightonly=TODO,IGMPARS=yes,FPN=esys_ID
FBQSJ0751+2919,Lya,,,7380,,,,,,,,,,0.9224,,,QSO,191.34,25.05,0.9224,Tripp,11741,LB1O19-21,"SN=N:27.5,C:31.4",v3.1.1,nightonly=TODO,IGMPARS=yes,FPN=esys_ID
FBQSJ0751+2919,Lya,,,8020,,,,,,,,,,0.9224,,,QSO,191.34,25.05,0.9224,Tripp,11741,LB1O19-21,"SN=N:27.5,C:31.4",v3.1.1,nightonly=TODO,IGMPARS=yes,FPN=esys_ID
PG0052+251,Lya,"2117, 2201",2,2155,97,6,2.21E+13,1.48E+12,26.1,2.5,43.5,4.2,,0.155,,,QSO,123.91,-37.44,0.155,Lehner,14268,LCXV15,"SN=N:29.3,C:19.3,O:5.5",v3.1.7,nightonly=done,IGMPARS=yes,FPN=yes
PG0052+251,Lya,"3225, 3349",1,3277,76,7,1.59E+13,1.54E+12,35.5,3.9,59.2,6.5,,0.155,,,QSO,123.91,-37.44,0.155,Lehner,14268,LCXV15,"SN=N:29.3,C:19.3,O:5.5",v3.1.7,nightonly=done,IGMPARS=yes,FPN=yes
PG0052+251,Lya,"9869, 10011",1,9930,104,7,2.20E+13,1.62E+12,41.2,3.3,68.6,5.4,,0.155,,,QSO,123.91,-37.44,0.155,Lehner,14268,LCXV15,"SN=N:29.3,C:19.3,O:5.5",v3.1.7,nightonly=done,IGMPARS=yes,FPN=yes
MRK1513,,,,,,,,,,,,,,,,,Sey,63.67,-29.07,0.06298,Green,11524,LB4Q07,"SN=N:29.2,C:18.7,O:15.9",v3.0,nightonly=TODO,IGMPARS=prt,FPN=no
HE1029-1401,,,,,,,,,,,,,,,,,QSO,259.33,36.52,0.086,Stocke,7345,O4EC05,SN=N:29.5,vXXX,nightonly=NONE,IGMPARS=yes,FPN=STIS
RBS1892,,,,,,,,,,,,,,,,,Sey,345.9,-58.37,0.201,Fox,12604,LBRY06,"SN=N:28.1,C:14.5",v3.0,nightonly=done,IGMPARS=yes,FPN=yes
HE0056-3622,Lya,"3370, 3568",1,3462,227,7,5.63E+13,1.86E+12,49.2,2.8,81.9,4.6,,0.1641,,,QSO,293.72,-80.9,0.16414,Fox,12604,LBRY05,"SN=N:28.1,C:21.0",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
HE0056-3622,Lya,"5072, 5176",1,5127,95,5,2.06E+13,1.19E+12,31,1.9,51.7,3.2,,0.1641,,,QSO,293.72,-80.9,0.16414,Fox,12604,LBRY05,"SN=N:28.1,C:21.0",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
HE0056-3622,Lya,"8419, 8541",1,8455,120,5,2.70E+13,1.32E+12,38.2,2.5,63.5,4.2,blended,0.1641,,,QSO,293.72,-80.9,0.16414,Fox,12604,LBRY05,"SN=N:28.1,C:21.0",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
RBS2055,,,,,,,,,,,,,,,,,Sey,106.67,-34.66,0.038,Lehner,14268,LCXV18-19,"SN=N:27.8,C:17.1",v3.1.7,nightonly=done,IGMPARS=yes,FPN=yes
HE0226-4110,Lya,"3592, 3686",1,3644,25,4,4.75E+12,8.14E+11,34.5,1.9,57.5,3.2,weak,0.495,,,QSO,253.94,-65.77,0.495,Green,11541,LB6803,"SN=N:27.7,C:26.7,O:24.8",v3.1.7,nightonly=TODO,IGMPARS=yes,FPN=yes
HE0226-4110,Lya,"5178, 5292",1,5233,72,4,1.48E+13,9.04E+11,33.1,2.7,55.1,4.5,,0.495,,,QSO,253.94,-65.77,0.495,Green,11541,LB6803,"SN=N:27.7,C:26.7,O:24.8",v3.1.7,nightonly=TODO,IGMPARS=yes,FPN=yes
HE0226-4110,Lya,"7542, 7646",1,7592,35,4,6.77E+12,8.15E+11,38.6,1.8,64.2,3,weak,0.495,,,QSO,253.94,-65.77,0.495,Green,11541,LB6803,"SN=N:27.7,C:26.7,O:24.8",v3.1.7,nightonly=TODO,IGMPARS=yes,FPN=yes
HE0226-4110,Lya,"7968, 8120",1,8027,102,5,2.13E+13,1.05E+12,43.4,2.6,72.3,4.4,,0.495,,,QSO,253.94,-65.77,0.495,Green,11541,LB6803,"SN=N:27.7,C:26.7,O:24.8",v3.1.7,nightonly=TODO,IGMPARS=yes,FPN=yes
