target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z_target,RAdeg_target,DEdeg_target,type,glon,glat,z,program PI,program #,obsid,"SN(N=1238,C=1548,O=1031)",calver,nightonly,IGMPARS,FPN
SDSSJ102056.30+100333.0,,,,,,,,,,,,,,,,,QSO,231.35,50.69,0.60900,Borthakur,13314,XXX,SN=12,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ095243.00+515121.0,,,,,,,,,,,,,,,,,QSO,163.93,48.54,0.86200,Tejos,13833,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ093001.90+284858.0,,,,,,,,,,,,,,,,,QSO,198.47,45.84,0.48700,Heckman,12603,XXX,SN=8,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
MRK1253,,,,,,,,,,,,,,,,,Sey,246.70,42.36,0.04900,Bregman,13347,XXX,SN=6,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
IC909,,,,,,,,,,,,,,,,,Sey,22.25,78.57,0.02700,Burchett,15227,XXX,SN=6,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
RBS390,,,,,,,,,,,,,,,,,QSO,180.54,-47.54,0.08014,Tumlinson,12248,LBHO70,"SN=N:11.7,C:12.3",v3.0,nightonly=TODO,IGMPARS=no,FPN=no
MRK1447,,,,,,,,,,,,,,,,,Sey,152.20,62.69,0.09558,Wakker,14772,LD5Z11,SN=N:11.7,v3.1.8,nightonly=TODO,IGMPARS=yes,FPN=yes
TON151,,,,,,,,,,,,,,,,,Sey,56.93,84.13,0.03779,Green,11522,LB6202,SN=N:11.6,v3.1.1,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ111908.70+254505.0,,,,,,,,,,,,,,,,,QSO,211.50,69.32,0.57967,Wakker,14772,LD5Z34,SN=N:11.5,v3.2.1,nightonly=TODO,IGMPARS=yes,FPN=yes
SDSSJ091728.60+271951.0,,,,,,,,,,,,,,,,,Sey,199.72,42.82,0.07564,Borthakur,14071,LCX202,SN=N:11.4,v3.1.1,nightonly=TODO,IGMPARS=yes,FPN=yes
SDSSJ082024.20+233450.0,,,,,,,,,,,,,,,,,QSO,199.80,29.42,0.47056,Tumlinson,11598,LB5N17,"SN=N:11.4,C:8.5",v3.1.1,nightonly=TODO,IGMPARS=prt,FPN=no
MRK259,,,,,,,,,,,,,,,,,Gal:BCG,101.24,71.59,0.02795,Green,11522,LB6204,SN=N:11.4,v3.1.1,nightonly=TODO,IGMPARS=no,FPN=no
LBQS1216+1032,,,,,,,,,,,,,,,,,QSO,276.90,71.47,0.54269,Putman,11698,LB1V09,SN=N:11.4,v3.1.1,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ150928.30+070235.0,,,,,,,,,,,,,,,,,QSO,7.80,51.61,0.41878,Heckman,12603,LBS317,SN=N:11.3,v3.0,nightonly=done,IGMPARS=yes,FPN=yes
TON1364,,,,,,,,,,,,,,,,,QSO,186.06,67.76,0.34681,Wakker,14772,LD5Z37,SN=N:11.2,v3.1.8,nightonly=TODO,IGMPARS=yes,FPN=yes
RX_J1154.1+2521,,,,,,,,,,,,,,,,,QSO,217.54,77.04,0.33664,Wakker,14772,LD5Z27,SN=N:11.2,v3.1.8,nightonly=TODO,IGMPARS=yes,FPN=yes
RX_J1140.1+4115,,,,,,,,,,,,,,,,,Sey,164.42,69.65,0.07132,Wakker,14772,LD5Z23,SN=N:11.1,v3.2.1,nightonly=TODO,IGMPARS=yes,FPN=yes
UVQSJ100826.52-273544.3,,,,,,,,,,,,,,,,,QSO,264.09,22.73,0.30760,Burchett,15227,XXX,SN=7,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
TON133,,,,,,,,,,,,,,,,,QSO,124.55,86.70,0.65300,Putman,13382,XXX,SN=7,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ160709.80+133419.0,,,,,,,,,,,,,,,,,Sey,26.52,42.48,0.20900,Ellison,13774,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ133843.50+243003.0,,,,,,,,,,,,,,,,,Sey,21.69,79.04,0.05500,Burchett,15227,XXX,SN=8,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ132222.70+464535.0,,,,,,,,,,,,,,,,,QSO,107.71,69.44,0.37500,Tumlinson,"11598,13033",XXX,SN=7,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ115412.10+463552.0,,,,,,,,,,,,,,,,,QSO,149.27,67.50,0.64100,Bordoloi,13852,XXX,SN=8,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ101541.10+594445.0,,,,,,,,,,,,,,,,,QSO,151.15,47.96,0.52700,Bordoloi,13852,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ095823.50+065506.0,,,,,,,,,,,,,,,,,QSO,231.04,44.29,0.34600,Burchett,15227,XXX,SN=7,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
SDSSJ095240.20+515250.0,,,,,,,,,,,,,,,,,QSO,163.90,48.53,0.55300,Tejos,13833,XXX,SN=8,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
RX_J0826.5+0742,,,,,,,,,,,,,,,,,QSO,216.89,24.63,0.31066,Tumlinson,12248,LBHO58,"SN=N:11.0,C:8.0",v3.0,nightonly=TODO,IGMPARS=prt,FPN=no
RBS799,,,,,,,,,,,,,,,,,Sey,225.37,43.54,0.13900,Tumlinson,12248,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
PKS0537-441,,,,,,,,,,,,,,,,,QSO,250.08,-31.09,0.89400,Chen,15163,XXX,SN=8,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
IRAS13224-3809-POS1,,,,,,,,,,,,,,,,,QSO,310.19,23.98,0.06500,Lehner,15313,XXX,SN=6,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
HS1453+2802,,,,,,,,,,,,,,,,,QSO,41.70,62.41,0.24900,"Cooke,Tejos","13423,15293",XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
